Ticker,Date,Open,High,Low,Close,Trading Volume,Volume Weighted Average Price,Number of Transactions
PFE,2020-03-11,30.48,32.0,30.0,30.02,60585686.0,30.6586,307447
PFE,2020-03-12,31.27,32.88,30.23,32.71,58156515.0,31.4335,313654
PFE,2020-03-15,29.94,32.285,29.65,30.18,48333517.0,30.9841,270185
PFE,2020-03-16,31.64,32.65,30.59,32.16,52139745.0,31.6114,317412
PFE,2020-03-17,30.77,32.61,30.31,32.36,42228311.0,31.6159,249462
PFE,2020-03-18,32.22,32.25,30.01,30.42,57479960.0,30.7282,310403
PFE,2020-03-19,30.28,30.67,28.91,29.01,53530953.0,29.6025,251047
PFE,2020-03-22,28.76,29.58,27.88,28.49,51118611.0,28.5935,261062
PFE,2020-03-23,29.51,30.05,28.9,29.7,42753138.0,29.4456,224379
PFE,2020-03-24,29.5,30.72,29.0,29.75,43031230.0,29.8798,225485
PFE,2020-03-25,29.89,31.99,29.88,31.75,41345312.0,31.2334,211389
PFE,2020-03-26,30.8,31.74,30.66,30.9,36856336.0,30.9849,147472
PFE,2020-03-29,31.05,32.845,31.05,32.67,28888242.0,32.1864,148337
PFE,2020-03-30,32.4,33.0,32.235,32.64,28395666.0,32.6777,141733
PFE,2020-03-31,31.92,32.28,31.53,31.75,25906676.0,31.8425,131899
PFE,2020-04-01,31.9,33.0,31.75,32.87,26206293.0,32.456,152434
PFE,2020-04-02,32.63,33.89,32.63,33.64,31557843.0,33.4884,171816
PFE,2020-04-05,33.92,34.9,33.78,34.57,38917085.0,34.2942,167301
PFE,2020-04-06,35.0,35.17,33.59,33.61,23569077.0,34.2318,132353
PFE,2020-04-07,33.99,34.8,33.44,34.6,24472292.0,34.2174,120507
PFE,2020-04-08,35.03,35.7673,34.85,35.39,29683461.0,35.3965,151561
PFE,2020-04-12,35.96,35.98,34.72,35.14,17988590.0,35.1933,95467
PFE,2020-04-13,35.93,36.63,35.335,36.44,21358146.0,36.2116,116985
PFE,2020-04-14,36.06,36.23,35.58,35.97,20684714.0,35.9131,103296
PFE,2020-04-15,36.12,36.26,35.575,35.88,19936559.0,35.8562,102421
PFE,2020-04-16,36.5,37.0,36.11,36.91,24280217.0,36.5976,116525
PFE,2020-04-19,36.38,36.91,36.08,36.08,21818617.0,36.3902,98400
PFE,2020-04-20,35.78,35.93,35.37,35.62,23194261.0,35.6334,127856
PFE,2020-04-21,36.96,37.0,36.12,36.25,19652712.0,36.4041,107387
PFE,2020-04-22,36.28,37.4,36.28,36.69,19498353.0,36.8976,101912
PFE,2020-04-23,36.84,37.429,36.785,37.38,16753492.0,37.1609,84366
PFE,2020-04-26,37.59,38.54,37.57,38.33,22595459.0,38.1551,110259
PFE,2020-04-27,39.05,39.22,37.375,37.91,34395918.0,38.055,156744
PFE,2020-04-28,38.46,38.55,37.71,38.12,25607541.0,38.1104,121634
PFE,2020-04-29,38.0,38.51,37.36,38.36,28554576.0,38.0301,119021
PFE,2020-04-30,37.85,37.9397,37.385,37.64,21843837.0,37.624,106653
PFE,2020-05-03,37.6,37.92,37.41,37.62,19237989.0,37.6623,100949
PFE,2020-05-04,38.81,38.86,38.27,38.51,23399632.0,38.6246,128301
PFE,2020-05-05,38.97,39.01,38.51,38.51,23495254.0,38.7466,124462
PFE,2020-05-06,38.41,38.49,36.89,36.96,32259045.0,37.3455,159482
PFE,2020-05-07,37.25,37.38,37.04,37.22,19308326.0,37.2182,91617
PFE,2020-05-10,37.25,38.21,37.16,38.1,24731584.0,37.8253,89650
PFE,2020-05-11,38.12,38.24,37.34,37.36,18778694.0,37.6432,89133
PFE,2020-05-12,37.31,37.425,36.585,37.05,23796093.0,37.053,130620
PFE,2020-05-13,36.8,37.96,36.78,37.92,21467460.0,37.5489,112608
PFE,2020-05-14,37.96,38.17,37.385,37.76,25016718.0,37.7612,107741
PFE,2020-05-17,38.34,38.46,37.63,38.07,21959076.0,38.0252,111161
PFE,2020-05-18,37.85,38.02,37.31,37.68,18816850.0,37.6975,98890
PFE,2020-05-19,37.95,38.2,37.545,37.63,16886527.0,37.8182,96376
PFE,2020-05-20,37.57,37.65,37.05,37.26,17044014.0,37.3036,90398
PFE,2020-05-21,37.11,37.53,36.96,37.5,15202422.0,37.3261,76157
PFE,2020-05-25,37.65,37.87,37.45,37.49,22680711.0,37.6466,109004
PFE,2020-05-26,37.41,37.54,36.97,37.41,24996766.0,37.2658,114664
PFE,2020-05-27,37.84,38.44,37.72,38.18,21620498.0,38.1773,104106
PFE,2020-05-28,38.27,38.43,37.58,38.19,46486511.0,37.8903,147103
PFE,2020-05-31,35.5,35.73,34.91,35.46,74025032.0,35.3457,339909
PFE,2020-06-01,35.53,36.16,35.25,36.16,41281149.0,35.8185,189140
PFE,2020-06-02,36.29,36.41,35.54,36.16,37390376.0,35.9312,166361
PFE,2020-06-03,35.71,36.29,35.7,36.01,26290966.0,35.9488,116648
PFE,2020-06-04,36.24,36.49,35.88,35.99,35661495.0,36.1074,159864
PFE,2020-06-07,35.8,36.6,35.68,36.59,29200075.0,36.2858,132858
PFE,2020-06-08,36.5,36.66,36.17,36.21,20915675.0,36.3255,96005
PFE,2020-06-09,36.36,36.45,35.89,35.92,28485920.0,36.0504,129638
PFE,2020-06-10,35.6,35.68,33.28,33.3,60497392.0,34.0867,271800
PFE,2020-06-11,34.08,34.105,33.045,33.75,36563186.0,33.6089,189416
PFE,2020-06-14,33.3,33.718,32.76,33.36,34872213.0,33.2538,169057
PFE,2020-06-15,33.59,33.96,32.72,33.4,53401513.0,33.2316,250601
PFE,2020-06-16,33.59,33.765,33.315,33.56,26482064.0,33.55,123829
PFE,2020-06-17,33.27,33.47,32.98,33.24,30906580.0,33.2019,133674
PFE,2020-06-18,33.69,33.74,33.115,33.42,45338990.0,33.4591,120775
PFE,2020-06-21,33.33,33.36,32.91,33.11,22480204.0,33.0887,91391
PFE,2020-06-22,33.2,33.25,32.74,32.77,36096893.0,32.9421,135771
PFE,2020-06-23,32.71,32.73,32.0,32.19,29736085.0,32.272,151548
PFE,2020-06-24,32.11,32.38,31.83,32.32,26338876.0,32.0967,121606
PFE,2020-06-25,32.25,32.28,31.61,32.04,40261093.0,31.9228,134568
PFE,2020-06-28,32.46,32.67,32.2,32.64,23248826.0,32.5195,105049
PFE,2020-06-29,32.53,32.88,32.23,32.7,24487380.0,32.5162,98650
PFE,2020-06-30,34.54,34.54,33.72,33.74,70832059.0,34.1599,307811
PFE,2020-07-01,34.62,34.847,34.04,34.51,44656923.0,34.5273,197382
PFE,2020-07-05,34.95,34.99,34.38,34.51,26705040.0,34.6103,122995
PFE,2020-07-06,34.05,34.35,33.955,34.03,24381758.0,34.1261,100228
PFE,2020-07-07,34.01,34.37,33.57,33.75,23364674.0,33.8252,112169
PFE,2020-07-08,33.73,33.88,33.101,33.46,19703168.0,33.5165,91049
PFE,2020-07-09,33.66,34.04,33.485,33.83,23711666.0,33.7638,100429
PFE,2020-07-12,34.73,35.72,34.52,35.21,54987550.0,35.2344,228674
PFE,2020-07-13,35.37,35.42,34.88,35.23,31984552.0,35.175,146828
PFE,2020-07-14,35.99,36.0,35.47,35.72,25896442.0,35.7326,121465
PFE,2020-07-15,35.6,35.64,35.255,35.6,17916161.0,35.4622,87491
PFE,2020-07-16,35.86,36.33,35.725,36.25,23657961.0,36.1057,107867
PFE,2020-07-19,37.49,37.62,36.32,36.5,35908045.0,36.8072,186247
PFE,2020-07-20,36.94,37.0792,36.52,36.69,23286204.0,36.7969,114251
PFE,2020-07-21,38.23,38.73,37.52,38.56,88469518.0,38.1737,471822
PFE,2020-07-22,39.23,39.42,38.18,38.41,58602042.0,38.7683,300826
PFE,2020-07-23,38.03,38.15,37.325,37.66,32991450.0,37.5928,160047
PFE,2020-07-26,37.36,37.75,37.23,37.54,27022349.0,37.5432,143584
PFE,2020-07-27,38.54,39.335,38.06,39.02,54321668.0,38.8648,257864
PFE,2020-07-28,39.3,39.45,38.45,39.26,36159995.0,39.0397,181038
PFE,2020-07-29,38.28,38.94,38.2009,38.74,31407575.0,38.6041,141402
PFE,2020-07-30,38.67,38.75,37.86,38.48,27566729.0,38.3103,123761
PFE,2020-08-02,38.61,38.66,38.215,38.35,29955775.0,38.3734,106061
PFE,2020-08-03,38.31,38.68,38.09,38.39,28284711.0,38.359,98670
PFE,2020-08-04,38.47,38.53,38.13,38.45,23669810.0,38.4067,102386
PFE,2020-08-05,38.77,39.1,38.151,38.27,20317858.0,38.4555,103622
PFE,2020-08-06,38.3,38.615,38.16,38.45,22307843.0,38.419,103516
PFE,2020-08-09,38.55,38.66,38.26,38.39,19274373.0,38.4118,81119
PFE,2020-08-10,38.56,38.58,37.675,37.79,20666183.0,38.0437,107298
PFE,2020-08-11,37.83,38.55,37.81,38.33,19300705.0,38.2738,95819
PFE,2020-08-12,38.07,38.18,37.88,38.17,14968436.0,38.0379,79376
PFE,2020-08-13,38.01,38.39,37.93,38.06,12602375.0,38.1211,61638
PFE,2020-08-16,38.04,38.41,37.945,38.35,16996901.0,38.2703,65209
PFE,2020-08-17,38.45,38.46,38.17,38.36,10605350.0,38.3468,58705
PFE,2020-08-18,38.48,38.6062,38.12,38.26,15223160.0,38.3632,73737
PFE,2020-08-19,38.18,38.79,38.1301,38.72,21097721.0,38.5375,103184
PFE,2020-08-20,38.91,39.0,38.57,38.88,25431916.0,38.8344,102277
PFE,2020-08-23,39.02,39.04,38.54,38.84,24291474.0,38.7607,96010
PFE,2020-08-24,38.51,38.56,37.95,38.41,25492954.0,38.2743,115735
PFE,2020-08-25,38.19,38.27,37.66,38.05,23244299.0,37.9824,107235
PFE,2020-08-26,37.96,38.0,37.68,37.86,21448524.0,37.8668,94318
PFE,2020-08-27,37.87,38.06,37.4,37.91,31651406.0,37.7805,110859
PFE,2020-08-30,37.84,38.02,37.5,37.79,28854832.0,37.7883,125212
PFE,2020-08-31,37.79,37.82,36.51,36.88,35108219.0,36.9504,160070
PFE,2020-09-01,36.7699,37.3,36.4,37.2,28009244.0,37.0614,121374
PFE,2020-09-02,37.37,37.49,36.1,36.4,34569196.0,36.621,178810
PFE,2020-09-03,36.49,36.63,35.87,36.36,25884645.0,36.2952,138777
PFE,2020-09-07,36.53,36.61,35.68,35.93,25838663.0,35.9724,139812
PFE,2020-09-08,36.29,36.65,36.14,36.18,26731966.0,36.3123,109659
PFE,2020-09-09,36.2,36.32,35.5831,35.65,20877266.0,35.8718,114934
PFE,2020-09-10,35.74,36.11,35.45,36.07,23161595.0,35.8165,111293
PFE,2020-09-13,36.36,37.5384,36.28,37.01,28852464.0,37.0062,148555
PFE,2020-09-14,37.19,37.35,36.81,36.96,21390606.0,37.0041,117689
PFE,2020-09-15,37.28,37.31,36.72,36.78,21498755.0,36.9597,108566
PFE,2020-09-16,36.78,36.97,36.55,36.82,17436277.0,36.7573,85612
