date,country,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
2020-02-15,USA,15.0,,12.0,0.0,
2020-02-16,USA,15.0,0.0,12.0,0.0,
2020-02-17,USA,15.0,0.0,12.0,0.0,
2020-02-18,USA,15.0,0.0,12.0,0.0,
2020-02-19,USA,15.0,0.0,12.0,0.0,
2020-02-20,USA,15.0,0.0,10.0,0.0,0.0
2020-02-21,USA,35.0,20.0,29.0,0.0,0.0
2020-02-22,USA,35.0,0.0,29.0,0.0,0.0
2020-02-23,USA,35.0,0.0,28.0,0.0,0.0
2020-02-24,USA,53.0,18.0,48.0,0.0,0.0
2020-02-25,USA,57.0,4.0,51.0,0.0,0.0
2020-02-26,USA,60.0,3.0,54.0,0.0,0.0
2020-02-27,USA,60.0,0.0,54.0,0.0,0.0
2020-02-28,USA,63.0,3.0,57.0,0.0,0.0
2020-02-29,USA,68.0,5.0,60.0,1.0,1.0
2020-03-01,USA,75.0,7.0,65.0,1.0,0.0
2020-03-02,USA,100.0,25.0,85.0,6.0,5.0
2020-03-03,USA,124.0,24.0,106.0,9.0,3.0
2020-03-04,USA,158.0,34.0,138.0,11.0,2.0
2020-03-05,USA,221.0,63.0,200.0,12.0,1.0
2020-03-06,USA,319.0,98.0,289.0,15.0,3.0
2020-03-07,USA,435.0,116.0,401.0,19.0,4.0
2020-03-08,USA,541.0,106.0,504.0,22.0,3.0
2020-03-09,USA,704.0,163.0,663.0,26.0,4.0
2020-03-10,USA,994.0,290.0,949.0,30.0,4.0
2020-03-11,USA,1301.0,307.0,1248.0,38.0,8.0
2020-03-12,USA,2475.0,1174.0,2424.0,42.0,4.0
2020-03-13,USA,3224.0,749.0,3165.0,49.0,7.0
2020-03-14,USA,4026.0,802.0,3918.0,58.0,9.0
2020-03-15,USA,5072.0,1046.0,4936.0,75.0,17.0
2020-03-16,USA,6408.0,1336.0,6236.0,96.0,21.0
2020-03-17,USA,8850.0,2442.0,8621.0,121.0,25.0
2020-03-18,USA,12588.0,3738.0,12305.0,173.0,52.0
2020-03-19,USA,17934.0,5346.0,17582.0,240.0,67.0
2020-03-20,USA,24366.0,6432.0,23891.0,315.0,75.0
2020-03-21,USA,30335.0,5969.0,29751.0,379.0,64.0
2020-03-22,USA,40480.0,10145.0,39710.0,527.0,148.0
2020-03-23,USA,51918.0,11438.0,50828.0,703.0,176.0
2020-03-24,USA,64812.0,12894.0,63327.0,963.0,260.0
2020-03-25,USA,79381.0,14569.0,77516.0,1271.0,308.0
2020-03-26,USA,98287.0,18906.0,94492.0,1642.0,371.0
2020-03-27,USA,118451.0,20164.0,113370.0,2174.0,532.0
2020-03-28,USA,138652.0,20201.0,132107.0,2819.0,645.0
2020-03-29,USA,159435.0,20783.0,150968.0,3356.0,537.0
2020-03-30,USA,183561.0,24126.0,173154.0,4192.0,836.0
2020-03-31,USA,209783.0,26222.0,196363.0,5281.0,1089.0
2020-04-01,USA,237435.0,27652.0,220892.0,6572.0,1291.0
2020-04-02,USA,266654.0,29219.0,247150.0,7781.0,1209.0
2020-04-03,USA,300371.0,33717.0,277460.0,9089.0,1308.0
2020-04-04,USA,334041.0,33670.0,306953.0,10699.0,1610.0
2020-04-05,USA,360593.0,26552.0,328548.0,12162.0,1463.0
2020-04-06,USA,392043.0,31450.0,356546.0,13712.0,1550.0
2020-04-07,USA,426310.0,34267.0,386388.0,15922.0,2210.0
2020-04-08,USA,459681.0,33371.0,414947.0,18185.0,2263.0
2020-04-09,USA,493664.0,33983.0,445209.0,20338.0,2153.0
2020-04-10,USA,528164.0,34500.0,476365.0,22632.0,2294.0
2020-04-11,USA,558642.0,30478.0,501090.0,24735.0,2103.0
2020-04-12,USA,584729.0,26087.0,522919.0,26569.0,1834.0
2020-04-13,USA,612047.0,27318.0,544906.0,28319.0,1750.0
2020-04-14,USA,641751.0,29704.0,569549.0,30866.0,2547.0
2020-04-15,USA,673750.0,31999.0,588734.0,33586.0,2720.0
2020-04-16,USA,704554.0,30804.0,607957.0,35830.0,2244.0
2020-04-17,USA,738219.0,33665.0,636237.0,38482.0,2652.0
2020-04-18,USA,767943.0,29724.0,655549.0,40444.0,1962.0
2020-04-19,USA,794042.0,26099.0,675837.0,42105.0,1661.0
2020-04-20,USA,822567.0,28525.0,700103.0,44084.0,1979.0
2020-04-21,USA,850119.0,27552.0,713937.0,46817.0,2733.0
2020-04-22,USA,882071.0,31952.0,740553.0,49268.0,2451.0
2020-04-23,USA,916265.0,34194.0,768789.0,51669.0,2401.0
2020-04-24,USA,951463.0,35198.0,777603.0,53595.0,1926.0
2020-04-25,USA,986774.0,35311.0,801503.0,55883.0,2288.0
2020-04-26,USA,1014107.0,27333.0,825431.0,57122.0,1239.0
2020-04-27,USA,1038299.0,24192.0,826848.0,58569.0,1447.0
2020-04-28,USA,1065246.0,26947.0,846760.0,61054.0,2485.0
2020-04-29,USA,1095537.0,30291.0,868213.0,63532.0,2478.0
2020-04-30,USA,1126808.0,31271.0,889324.0,65851.0,2319.0
2020-05-01,USA,1162533.0,35725.0,912152.0,67799.0,1948.0
2020-05-02,USA,1191080.0,28547.0,925598.0,69577.0,1778.0
2020-05-03,USA,1217106.0,26026.0,943107.0,70820.0,1243.0
2020-05-04,USA,1242055.0,24949.0,954766.0,72187.0,1367.0
2020-05-05,USA,1268504.0,26449.0,964068.0,74529.0,2342.0
2020-05-06,USA,1294293.0,25789.0,972440.0,77091.0,2562.0
2020-05-07,USA,1324063.0,29770.0,993051.0,79254.0,2163.0
2020-05-08,USA,1353237.0,29174.0,1010644.0,80922.0,1668.0
2020-05-09,USA,1378457.0,25220.0,1016821.0,82423.0,1501.0
2020-05-10,USA,1398771.0,20314.0,1027995.0,83714.0,1291.0
2020-05-11,USA,1417479.0,18708.0,1039063.0,84820.0,1106.0
2020-05-12,USA,1442038.0,24559.0,1034603.0,86663.0,1843.0
2020-05-13,USA,1465268.0,23230.0,1036424.0,88505.0,1842.0
2020-05-14,USA,1492385.0,27117.0,1055184.0,90267.0,1762.0
2020-05-15,USA,1520391.0,28006.0,1069821.0,91868.0,1601.0
2020-05-16,USA,1544659.0,24268.0,1079387.0,93104.0,1236.0
2020-05-17,USA,1564796.0,20137.0,1091966.0,94029.0,925.0
2020-05-18,USA,1587929.0,23133.0,1099861.0,95123.0,1094.0
2020-05-19,USA,1610430.0,22501.0,1111320.0,96699.0,1576.0
2020-05-20,USA,1633825.0,23395.0,1122825.0,98110.0,1411.0
2020-05-21,USA,1661690.0,27865.0,1134450.0,99589.0,1479.0
2020-05-22,USA,1687150.0,25460.0,1101479.0,100945.0,1356.0
2020-05-23,USA,1709474.0,22324.0,1108841.0,101982.0,1037.0
2020-05-24,USA,1728742.0,19268.0,1118649.0,102693.0,711.0
2020-05-25,USA,1747184.0,18442.0,1119793.0,103382.0,689.0
2020-05-26,USA,1766626.0,19442.0,1118187.0,104207.0,825.0
2020-05-27,USA,1787972.0,21346.0,1120901.0,105695.0,1488.0
2020-05-28,USA,1812222.0,24250.0,1127342.0,106941.0,1246.0
2020-05-29,USA,1838518.0,26296.0,1137336.0,108159.0,1218.0
2020-05-30,USA,1862466.0,23948.0,1141435.0,109159.0,1000.0
2020-05-31,USA,1883005.0,20539.0,1092565.0,109861.0,702.0
2020-06-01,USA,1901523.0,18518.0,1090472.0,110584.0,723.0
2020-06-02,USA,1925191.0,23668.0,1075257.0,111737.0,1153.0
2020-06-03,USA,1946873.0,21682.0,1048397.0,112852.0,1115.0
2020-06-04,USA,1970448.0,23575.0,1042047.0,113894.0,1042.0
2020-06-05,USA,1996118.0,25670.0,1047623.0,114859.0,965.0
2020-06-06,USA,2019317.0,23199.0,1053495.0,115590.0,731.0
2020-06-07,USA,2038586.0,19269.0,1059244.0,116034.0,444.0
2020-06-08,USA,2057251.0,18665.0,1060060.0,116698.0,664.0
2020-06-09,USA,2077189.0,19938.0,1061201.0,117677.0,979.0
2020-06-10,USA,2099416.0,22227.0,1055639.0,118695.0,1018.0
2020-06-11,USA,2123581.0,24165.0,1067117.0,119579.0,884.0
2020-06-12,USA,2150865.0,27284.0,1064654.0,120341.0,762.0
2020-06-13,USA,2176606.0,25741.0,1072267.0,121089.0,748.0
2020-06-14,USA,2196279.0,19673.0,1075328.0,121466.0,377.0
2020-06-15,USA,2216657.0,20378.0,1070823.0,121956.0,490.0
2020-06-16,USA,2244271.0,27614.0,1080117.0,122769.0,813.0
2020-06-17,USA,2272353.0,28082.0,1084499.0,123617.0,848.0
2020-06-18,USA,2302378.0,30025.0,1101055.0,124349.0,732.0
2020-06-19,USA,2337441.0,35063.0,1104914.0,125072.0,723.0
2020-06-20,USA,2372708.0,35267.0,1119290.0,125633.0,561.0
2020-06-21,USA,2399963.0,27255.0,1135948.0,125945.0,312.0
2020-06-22,USA,2432183.0,32220.0,1142871.0,126363.0,418.0
2020-06-23,USA,2470344.0,38161.0,1160516.0,127232.0,869.0
2020-06-24,USA,2511114.0,40770.0,1176505.0,128086.0,854.0
2020-06-25,USA,2553417.0,42303.0,1203857.0,128754.0,668.0
2020-06-26,USA,2602063.0,48646.0,1233141.0,129442.0,688.0
2020-06-27,USA,2648942.0,46879.0,1262274.0,129985.0,543.0
2020-06-28,USA,2690251.0,41309.0,1289394.0,130337.0,352.0
2020-06-29,USA,2733213.0,42962.0,1306659.0,130757.0,420.0
2020-06-30,USA,2784421.0,51208.0,1330528.0,131453.0,696.0
2020-07-01,USA,2839048.0,54627.0,1363150.0,132142.0,689.0
2020-07-02,USA,2899646.0,60598.0,1394660.0,132806.0,664.0
2020-07-03,USA,2961003.0,61357.0,1431983.0,133447.0,641.0
2020-07-04,USA,3013495.0,52492.0,1459687.0,133825.0,378.0
2020-07-05,USA,3059005.0,45510.0,1480933.0,134202.0,377.0
2020-07-06,USA,3111263.0,52258.0,1495698.0,134683.0,481.0
2020-07-07,USA,3171464.0,60201.0,1524681.0,135717.0,1034.0
2020-07-08,USA,3237265.0,65801.0,1553525.0,136689.0,972.0
2020-07-09,USA,3302330.0,65065.0,1582244.0,137721.0,1032.0
2020-07-10,USA,3376661.0,74331.0,1622055.0,138649.0,928.0
2020-07-11,USA,3441893.0,65232.0,1657575.0,139386.0,737.0
2020-07-12,USA,3500915.0,59022.0,1687876.0,139923.0,537.0
2020-07-13,USA,3563880.0,62965.0,1717325.0,140517.0,594.0
2020-07-14,USA,3635070.0,71190.0,1738146.0,141507.0,990.0
2020-07-15,USA,3710366.0,75296.0,1763694.0,142586.0,1079.0
2020-07-16,USA,3785498.0,75132.0,1803437.0,143628.0,1042.0
2020-07-17,USA,3862243.0,76745.0,1818491.0,144671.0,1043.0
2020-07-18,USA,3929326.0,67083.0,1850403.0,145602.0,931.0
2020-07-19,USA,3993257.0,63931.0,1889094.0,146178.0,576.0
2020-07-20,USA,4052649.0,59392.0,1900158.0,146878.0,700.0
2020-07-21,USA,4124137.0,71488.0,1933553.0,148137.0,1259.0
2020-07-22,USA,4198424.0,74287.0,1945125.0,149448.0,1311.0
2020-07-23,USA,4269607.0,71183.0,1975533.0,150649.0,1201.0
2020-07-24,USA,4349637.0,80030.0,2005004.0,151981.0,1332.0
2020-07-25,USA,4422097.0,72460.0,2037760.0,153012.0,1031.0
2020-07-26,USA,4476281.0,54184.0,2061331.0,153869.0,857.0
2020-07-27,USA,4534865.0,58584.0,2073533.0,154813.0,944.0
2020-07-28,USA,4604012.0,69147.0,2086290.0,156254.0,1441.0
2020-07-29,USA,4672619.0,68607.0,2095277.0,157681.0,1427.0
2020-07-30,USA,4743426.0,70807.0,2121626.0,159079.0,1398.0
2020-07-31,USA,4817358.0,73932.0,2151118.0,160460.0,1381.0
2020-08-01,USA,4879434.0,62076.0,2173401.0,161588.0,1128.0
2020-08-02,USA,4926681.0,47247.0,2199543.0,162234.0,646.0
2020-08-03,USA,4974568.0,47887.0,2178913.0,163007.0,773.0
2020-08-04,USA,5032397.0,57829.0,2198916.0,164383.0,1376.0
2020-08-05,USA,5089922.0,57525.0,2189925.0,165730.0,1347.0
2020-08-06,USA,5149800.0,59878.0,2210203.0,167102.0,1372.0
2020-08-07,USA,5213713.0,63913.0,2230330.0,168509.0,1407.0
2020-08-08,USA,5273823.0,60110.0,2264629.0,169578.0,1069.0
2020-08-09,USA,5320541.0,46718.0,2282855.0,170233.0,655.0
2020-08-10,USA,5368439.0,47898.0,2278006.0,170911.0,678.0
2020-08-11,USA,5426069.0,57630.0,2292359.0,172309.0,1398.0
2020-08-12,USA,5483404.0,57335.0,2286218.0,173741.0,1432.0
2020-08-13,USA,5538584.0,55180.0,2305704.0,175087.0,1346.0
2020-08-14,USA,5601011.0,62427.0,2331116.0,176245.0,1158.0
2020-08-15,USA,5656589.0,55578.0,2351316.0,177320.0,1075.0
2020-08-16,USA,5694802.0,38213.0,2366392.0,177985.0,665.0
2020-08-17,USA,5735010.0,40208.0,2357696.0,178640.0,655.0
2020-08-18,USA,5781809.0,46799.0,2363707.0,179951.0,1311.0
2020-08-19,USA,5828285.0,46476.0,2354001.0,181229.0,1278.0
2020-08-20,USA,5875174.0,46889.0,2362543.0,182381.0,1152.0
2020-08-21,USA,5927996.0,52822.0,2378866.0,183586.0,1205.0
2020-08-22,USA,5973500.0,45504.0,2399283.0,184681.0,1095.0
2020-08-23,USA,6008816.0,35316.0,2412122.0,185301.0,620.0
2020-08-24,USA,6047804.0,38988.0,2398663.0,185874.0,573.0
2020-08-25,USA,6092124.0,44320.0,2402170.0,187044.0,1170.0
2020-08-26,USA,6136802.0,44678.0,2380511.0,188326.0,1282.0
2020-08-27,USA,6183135.0,46333.0,2388110.0,189480.0,1154.0
2020-08-28,USA,6233044.0,49909.0,2405845.0,190612.0,1132.0
2020-08-29,USA,6277629.0,44585.0,2413641.0,191570.0,958.0
2020-08-30,USA,6312202.0,34573.0,2428345.0,192105.0,535.0
2020-08-31,USA,6348643.0,36441.0,2433798.0,192714.0,609.0
2020-09-01,USA,6392750.0,44107.0,2433769.0,193808.0,1094.0
2020-09-02,USA,6435416.0,42666.0,2421678.0,194886.0,1078.0
2020-09-03,USA,6481894.0,46478.0,2434798.0,195963.0,1077.0
2020-09-04,USA,6535414.0,53520.0,2405890.0,196974.0,1011.0
2020-09-05,USA,6579930.0,44516.0,2417208.0,197755.0,781.0
2020-09-06,USA,6612160.0,32230.0,2429054.0,198277.0,522.0
2020-09-07,USA,6636909.0,24749.0,2419498.0,198716.0,439.0
2020-09-08,USA,6665752.0,28843.0,2407590.0,199276.0,560.0
2020-09-09,USA,6703412.0,37660.0,2391753.0,200358.0,1082.0
2020-09-10,USA,6744011.0,40599.0,2395564.0,201335.0,977.0
2020-09-11,USA,6791396.0,47385.0,2402255.0,202375.0,1040.0
2020-09-12,USA,6833943.0,42547.0,2409760.0,203105.0,730.0
2020-09-13,USA,6868038.0,34095.0,2417734.0,203615.0,510.0
2020-09-14,USA,6903890.0,35852.0,2398874.0,204161.0,546.0
2020-09-15,USA,6944502.0,40612.0,2396962.0,205266.0,1105.0
2020-09-16,USA,6986232.0,41730.0,2381682.0,206213.0,947.0
2020-09-17,USA,7033869.0,47637.0,2391298.0,207037.0,824.0
2020-09-18,USA,7083776.0,49907.0,2401921.0,207875.0,838.0
2020-09-19,USA,7128388.0,44612.0,2411551.0,208574.0,699.0
2020-09-20,USA,7161497.0,33109.0,2416652.0,208985.0,411.0
2020-09-21,USA,7196938.0,35441.0,2402989.0,209426.0,441.0
2020-09-22,USA,7235614.0,38676.0,2392388.0,210332.0,906.0
2020-09-23,USA,7279339.0,43725.0,2379429.0,211310.0,978.0
2020-09-24,USA,7325368.0,46029.0,2384424.0,212156.0,846.0
2020-09-25,USA,7376789.0,51421.0,2390227.0,213022.0,866.0
2020-09-26,USA,7422588.0,45799.0,2390194.0,213744.0,722.0
2020-09-27,USA,7455344.0,32756.0,2385343.0,214166.0,422.0
2020-09-28,USA,7492760.0,37416.0,2371890.0,214614.0,448.0
