pandemic_date,daily_new_cases,daily_new_deaths,stock_ticker,open_price,highest,lowest,closing,Trading_Volume,Volume_Weighted_Average_Price,Number_of_Transactions
2020-03-11,307.0,8.0,PFE,30.48,32,30,30.02,60585686,30.6586,307447
2020-03-12,1174.0,4.0,PFE,31.27,32.88,30.23,32.71,58156515,31.4335,313654
2020-03-15,1046.0,17.0,PFE,29.94,32.285,29.65,30.18,48333517,30.9841,270185
2020-03-16,1336.0,21.0,PFE,31.64,32.65,30.59,32.16,52139745,31.6114,317412
2020-03-17,2442.0,25.0,PFE,30.77,32.61,30.31,32.36,42228311,31.6159,249462
2020-03-18,3738.0,52.0,PFE,32.22,32.25,30.01,30.42,57479960,30.7282,310403
2020-03-19,5346.0,67.0,PFE,30.28,30.67,28.91,29.01,53530953,29.6025,251047
2020-03-22,10145.0,148.0,PFE,28.76,29.58,27.88,28.49,51118611,28.5935,261062
2020-03-23,11438.0,176.0,PFE,29.51,30.05,28.9,29.7,42753138,29.4456,224379
2020-03-24,12894.0,260.0,PFE,29.5,30.72,29,29.75,43031230,29.8798,225485
2020-03-25,14569.0,308.0,PFE,29.89,31.99,29.88,31.75,41345312,31.2334,211389
2020-03-26,18906.0,371.0,PFE,30.8,31.74,30.66,30.9,36856336,30.9849,147472
2020-03-29,20783.0,537.0,PFE,31.05,32.845,31.05,32.67,28888242,32.1864,148337
2020-03-30,24126.0,836.0,PFE,32.4,33,32.235,32.64,28395666,32.6777,141733
2020-03-31,26222.0,1089.0,PFE,31.92,32.28,31.53,31.75,25906676,31.8425,131899
2020-04-01,27652.0,1291.0,PFE,31.9,33,31.75,32.87,26206293,32.456,152434
2020-04-02,29219.0,1209.0,PFE,32.63,33.89,32.63,33.64,31557843,33.4884,171816
2020-04-05,26552.0,1463.0,PFE,33.92,34.9,33.78,34.57,38917085,34.2942,167301
2020-04-06,31450.0,1550.0,PFE,35,35.17,33.59,33.61,23569077,34.2318,132353
2020-04-07,34267.0,2210.0,PFE,33.99,34.8,33.44,34.6,24472292,34.2174,120507
2020-04-08,33371.0,2263.0,PFE,35.03,35.7673,34.85,35.39,29683461,35.3965,151561
2020-04-12,26087.0,1834.0,PFE,35.96,35.98,34.72,35.14,17988590,35.1933,95467
