Entity,Code,Day,Daily ICU occupancy,145332-annotations
Algeria,DZA,2020-07-17,62,
Algeria,DZA,2020-07-18,67,
Algeria,DZA,2020-07-20,64,
Algeria,DZA,2020-07-21,56,
Algeria,DZA,2020-07-22,51,
Algeria,DZA,2020-07-23,66,
Algeria,DZA,2020-07-25,63,
Algeria,DZA,2020-07-26,64,
Algeria,DZA,2020-07-27,58,
Algeria,DZA,2020-07-31,65,
Algeria,DZA,2020-08-01,64,
Algeria,DZA,2020-08-02,54,
Algeria,DZA,2020-08-04,54,
Algeria,DZA,2020-08-05,55,
Algeria,DZA,2020-08-06,63,
Algeria,DZA,2020-08-09,57,
Algeria,DZA,2020-08-10,47,
Algeria,DZA,2020-08-12,53,
Algeria,DZA,2020-08-13,44,
Algeria,DZA,2020-08-14,46,
Algeria,DZA,2020-08-15,37,
Algeria,DZA,2020-08-16,40,
Algeria,DZA,2020-08-17,40,
Algeria,DZA,2020-08-18,46,
Algeria,DZA,2020-08-19,44,
Algeria,DZA,2020-08-20,41,
Algeria,DZA,2020-08-21,41,
Algeria,DZA,2020-08-22,49,
Algeria,DZA,2020-08-23,41,
Algeria,DZA,2020-08-24,37,
Algeria,DZA,2020-08-25,31,
Algeria,DZA,2020-08-26,28,
Algeria,DZA,2020-08-27,28,
Algeria,DZA,2020-08-28,31,
Algeria,DZA,2020-08-29,28,
Algeria,DZA,2020-08-30,29,
Algeria,DZA,2020-08-31,29,
Algeria,DZA,2020-09-01,38,
Algeria,DZA,2020-09-02,35,
Algeria,DZA,2020-09-03,44,
Algeria,DZA,2020-09-04,42,
Algeria,DZA,2020-09-05,42,
Algeria,DZA,2020-09-06,44,
Algeria,DZA,2020-09-07,43,
Algeria,DZA,2020-09-08,35,
Algeria,DZA,2020-09-09,40,
Algeria,DZA,2020-09-10,39,
Algeria,DZA,2020-09-11,32,
Algeria,DZA,2020-09-12,36,
Algeria,DZA,2020-09-13,29,
Algeria,DZA,2020-09-14,27,
Algeria,DZA,2020-09-15,31,
