Date,Open,High,Low,Close
2020-03-12,585.23,585.23,535.39,537.0
2020-03-13,537.0,582.36,537.0,582.16
2020-03-16,582.16,582.16,523.72,541.45
2020-03-17,542.32,588.62,542.32,586.9
2020-03-18,586.9,586.9,546.62,568.91
2020-03-19,568.91,569.23,548.11,552.37
2020-03-20,551.67,552.85,511.67,516.28
2020-03-23,514.44,520.64,491.61,500.95
2020-03-24,502.22,528.36,502.22,525.19
2020-03-25,525.08,541.2,514.87,524.29
2020-03-26,524.52,556.97,524.52,554.03
2020-03-27,552.8,565.28,543.35,550.05
2020-03-30,551.33,572.83,551.33,571.52
2020-03-31,570.16,572.43,558.84,560.33
2020-04-01,553.02,559.31,545.76,550.08
2020-04-02,550.08,568.57,542.45,566.0
2020-04-03,566.0,571.02,560.72,569.07
2020-04-06,571.67,594.93,571.67,591.38
2020-04-07,591.38,604.3,584.14,584.27
2020-04-08,584.27,595.03,581.92,592.48
2020-04-09,592.56,605.91,592.56,597.14
2020-04-13,596.69,597.8,587.05,592.61
2020-04-14,593.56,618.41,593.56,617.69
2020-04-15,617.13,617.13,603.9,608.04
2020-04-16,608.77,615.11,604.01,612.9
2020-04-17,612.9,623.67,611.92,622.12
2020-04-20,620.46,620.46,609.15,609.15
2020-04-21,606.48,606.48,593.69,595.34
2020-04-22,596.05,604.49,596.05,601.74
2020-04-23,601.74,603.24,595.0,595.61
2020-04-24,596.94,603.81,596.94,602.26
2020-04-27,602.26,606.42,601.61,604.23
2020-04-28,604.23,611.77,604.23,606.88
2020-04-29,607.66,609.78,600.83,604.41
2020-04-30,604.41,604.41,593.62,597.56
2020-05-01,597.43,598.63,588.43,590.51
2020-05-04,590.51,591.82,584.7,590.54
2020-05-05,590.54,597.31,590.54,591.32
2020-05-06,591.64,593.32,584.54,584.82
2020-05-07,584.87,589.4,581.43,582.4
2020-05-08,584.34,596.32,584.34,595.63
2020-05-11,595.63,598.98,592.53,594.47
2020-05-12,594.5,599.64,589.27,589.31
2020-05-13,588.93,591.48,580.55,583.95
2020-05-14,583.95,583.95,573.04,582.12
2020-05-15,581.99,588.44,580.13,586.53
2020-05-18,586.53,598.87,586.53,596.29
2020-05-19,595.75,596.64,585.77,585.85
2020-05-20,588.41,592.61,587.02,592.22
2020-05-21,591.44,591.75,584.94,586.04
2020-05-22,585.76,588.33,584.99,587.98
2020-05-26,588.07,597.1,588.07,591.11
2020-05-27,591.89,600.31,591.89,600.31
2020-05-28,600.52,608.19,600.52,604.8
2020-05-29,604.24,607.18,598.24,605.78
2020-06-01,605.78,611.59,605.32,609.54
2020-06-02,609.5,611.29,606.31,610.76
2020-06-03,611.6,614.47,611.6,612.01
2020-06-04,612.65,613.33,605.51,608.4
2020-06-05,608.58,619.75,608.58,617.24
2020-06-08,617.24,623.18,615.14,623.16
2020-06-09,623.16,623.16,614.52,617.5
2020-06-10,617.56,621.13,615.25,616.58
2020-06-11,616.06,616.06,592.63,593.11
2020-06-12,593.11,599.65,586.93,592.04
2020-06-15,592.04,599.09,582.58,598.33
2020-06-16,602.25,611.01,600.75,607.87
2020-06-17,607.96,611.19,605.04,606.67
2020-06-18,606.51,610.42,603.5,609.93
2020-06-19,611.22,616.56,605.38,606.01
2020-06-22,606.01,606.68,602.42,604.38
2020-06-23,604.79,610.56,602.98,603.54
2020-06-24,603.54,603.54,591.62,593.62
2020-06-25,593.48,598.46,589.64,598.04
2020-06-26,598.04,599.39,585.21,585.69
2020-06-29,586.39,597.52,586.39,596.52
2020-06-30,596.51,602.91,595.66,601.33
2020-07-01,601.34,605.12,601.12,601.63
2020-07-02,601.63,610.4,601.63,604.43
2020-07-06,604.43,610.54,604.41,607.63
2020-07-07,607.63,617.12,604.28,613.74
2020-07-08,613.74,615.54,609.68,612.46
2020-07-09,612.46,613.45,604.68,607.85
2020-07-10,607.66,620.24,607.66,619.33
2020-07-13,619.33,626.35,616.14,617.88
2020-07-14,617.74,628.49,615.19,627.32
2020-07-15,627.32,634.72,625.69,627.39
2020-07-16,627.33,629.75,625.79,628.77
2020-07-17,628.77,632.65,628.77,631.38
2020-07-20,631.17,631.17,623.62,625.3
2020-07-21,625.3,637.77,625.3,631.43
2020-07-22,631.43,636.85,626.57,636.28
2020-07-23,636.32,639.87,635.46,637.44
2020-07-24,637.44,643.63,633.86,636.52
2020-07-27,636.6,640.23,635.12,639.98
2020-07-28,639.98,645.34,639.92,641.87
2020-07-29,641.87,645.02,640.37,642.86
2020-07-30,642.86,645.11,638.7,642.89
2020-07-31,642.89,642.89,634.34,642.01
2020-08-03,642.04,642.61,637.48,640.4
2020-08-04,640.06,649.13,638.88,649.09
2020-08-05,649.59,651.35,645.72,647.64
2020-08-06,647.64,648.89,645.17,647.75
2020-08-07,647.46,651.46,646.17,651.18
2020-08-10,650.91,655.45,650.37,654.13
2020-08-11,654.37,658.96,647.85,649.53
2020-08-12,650.14,660.66,650.14,658.21
2020-08-13,657.82,658.93,655.21,656.96
2020-08-14,656.96,658.87,654.51,656.81
2020-08-17,656.76,662.5,656.76,660.5
2020-08-18,660.5,664.86,658.49,662.85
2020-08-19,662.84,663.01,656.79,657.98
2020-08-20,657.08,657.27,653.46,656.31
2020-08-21,656.31,659.25,653.92,658.05
2020-08-24,658.05,663.65,657.67,663.58
2020-08-25,663.63,665.21,659.75,662.73
2020-08-26,662.73,664.29,658.24,663.41
2020-08-27,663.41,670.43,663.41,667.47
2020-08-28,667.36,673.87,664.61,673.67
2020-08-31,673.63,673.63,668.78,671.53
2020-09-01,671.53,672.7,667.07,672.24
2020-09-02,672.26,687.32,672.26,684.99
2020-09-03,685.61,691.76,667.34,672.07
2020-09-04,672.13,676.87,662.44,670.48
2020-09-08,670.48,670.48,653.97,656.61
2020-09-09,656.61,672.84,656.61,666.37
2020-09-10,666.44,668.06,656.89,658.03
2020-09-11,658.07,665.0,657.39,662.06
2020-09-14,662.06,668.09,662.06,665.15
2020-09-15,665.15,669.21,663.48,664.47
2020-09-16,665.24,668.74,660.88,661.08
2020-09-17,661.08,661.08,652.5,656.76
2020-09-18,656.77,658.42,646.5,650.71
2020-09-21,650.66,650.66,638.98,646.37
2020-09-22,646.37,653.41,646.37,650.53
2020-09-23,650.54,653.43,639.8,640.35
2020-09-24,640.38,648.36,636.19,645.24
2020-09-25,645.24,648.53,639.84,647.9
2020-09-28,647.9,658.98,647.9,655.3
2020-09-29,655.37,657.03,649.84,651.25
