Date,Open,High,Low,Close
1989-09-11,82.97,82.97,82.97,82.97
1989-09-11,83.84,83.84,83.84,83.84
1989-09-11,83.16,83.16,83.16,83.16
1989-09-11,82.2,82.2,82.2,82.2
1989-09-11,82.67,82.67,82.67,82.67
1989-09-11,83.41,83.41,83.41,83.41
1989-09-11,83.02,83.02,83.02,83.02
1989-09-11,82.94,82.94,82.94,82.94
1989-09-11,82.85,82.85,82.85,82.85
1989-09-11,83.22,83.22,83.22,83.22
1989-09-11,82.27,82.27,82.27,82.27
1989-09-11,81.64,81.64,81.64,81.64
1989-09-11,81.69,81.69,81.69,81.69
1989-09-11,82.13,82.13,82.13,82.13
1989-09-11,82.42,82.42,82.42,82.42
1989-09-11,83.04,83.04,83.04,83.04
1989-09-11,83.92,83.92,83.92,83.92
1989-09-11,84.44,84.44,84.44,84.44
1989-09-11,84.48,84.48,84.48,84.48
1989-09-11,85.71,85.71,85.71,85.71
1989-09-11,86.1,86.1,86.1,86.1
1989-09-11,85.89,85.89,85.89,85.89
1989-09-11,85.58,85.58,85.58,85.58
1989-09-11,85.38,85.38,85.38,85.38
1989-09-11,80.06,80.06,80.06,80.06
1989-09-11,82.75,82.75,82.75,82.75
1989-09-11,82.72,82.72,82.72,82.72
1989-09-11,82.87,82.87,82.87,82.87
1989-09-11,83.75,83.75,83.75,83.75
1989-09-11,83.93,83.93,83.93,83.93
1989-09-11,82.96,82.96,82.96,82.96
1989-09-11,82.42,82.42,82.42,82.42
1989-09-11,82.53,82.53,82.53,82.53
1989-09-11,81.2,81.2,81.2,81.2
1989-09-11,81.44,81.44,81.44,81.44
1989-09-11,81.39,81.39,81.39,81.39
1989-09-11,82.92,82.92,82.92,82.92
1989-09-11,82.89,82.89,82.89,82.89
1989-09-11,82.37,82.37,82.37,82.37
1989-09-11,82.35,82.35,82.35,82.35
1989-09-11,81.23,81.23,81.23,81.23
1989-09-11,81.64,81.64,81.64,81.64
1989-09-11,81.9,81.9,81.9,81.9
1989-09-11,80.95,80.95,80.95,80.95
1989-09-11,81.51,81.51,81.51,81.51
1989-09-11,81.84,81.84,81.84,81.84
1989-09-11,82.04,82.04,82.04,82.04
1989-09-11,82.64,82.64,82.64,82.64
1989-09-11,82.57,82.57,82.57,82.57
1989-09-11,83.08,83.08,83.08,83.08
1989-09-11,82.48,82.48,82.48,82.48
1989-09-11,82.8,82.8,82.8,82.8
1989-09-11,83.55,83.55,83.55,83.55
1989-09-11,84.01,84.01,84.01,84.01
1989-09-11,85.15,85.15,85.15,85.15
1989-09-11,85.84,85.84,85.84,85.84
1989-09-11,85.03,85.03,85.03,85.03
1989-09-11,85.84,85.84,85.84,85.84
1989-09-11,87.54,87.54,87.54,87.54
1989-09-11,88.08,88.08,88.08,88.08
1989-09-11,87.76,87.76,87.76,87.76
1989-09-11,88.29,88.29,88.29,88.29
1989-09-11,87.9,87.9,87.9,87.9
1989-09-11,88.76,88.76,88.76,88.76
1989-09-11,89.64,89.64,89.64,89.64
1989-09-11,92.48,92.48,92.48,92.48
1989-09-11,91.92,91.92,91.92,91.92
1989-09-11,90.69,90.69,90.69,90.69
1989-09-11,90.66,90.66,90.66,90.66
1989-09-11,89.84,89.84,89.84,89.84
1989-09-11,89.83,89.83,89.83,89.83
1989-09-11,90.55,90.55,90.55,90.55
1989-09-11,90.86,90.86,90.86,90.86
1989-09-11,90.9,90.9,90.9,90.9
1989-09-11,90.95,90.95,90.95,90.95
1989-09-11,91.15,91.15,91.15,91.15
1989-09-11,91.04,91.04,91.04,91.04
1989-09-11,91.62,91.62,91.62,91.62
1989-09-11,92.03,92.03,92.03,92.03
1989-09-11,90.74,90.74,90.74,90.74
1989-09-11,89.68,89.68,89.68,89.68
1989-09-11,88.79,88.79,88.79,88.79
1989-09-11,89.65,89.65,89.65,89.65
1989-09-11,88.61,88.61,88.61,88.61
1989-09-11,88.43,88.43,88.43,88.43
1989-09-11,89.18,89.18,89.18,89.18
1989-09-11,87.3,87.3,87.3,87.3
1989-09-11,87.13,87.13,87.13,87.13
1989-09-11,87.49,87.49,87.49,87.49
1989-09-11,86.5,86.5,86.5,86.5
1989-09-11,87.11,87.11,87.11,87.11
1989-09-11,88.22,88.22,88.22,88.22
1989-09-11,85.55,85.55,85.55,85.55
1989-09-11,85.99,85.99,85.99,85.99
1989-09-11,86.0,86.0,86.0,86.0
1989-09-11,85.35,85.35,85.35,85.35
1989-09-11,85.87,85.87,85.87,85.87
1989-09-11,86.58,86.58,86.58,86.58
1989-09-11,86.83,86.83,86.83,86.83
1989-09-11,88.24,88.24,88.24,88.24
1989-09-11,88.23,88.23,88.23,88.23
1989-09-11,88.89,88.89,88.89,88.89
1989-09-11,89.11,89.11,89.11,89.11
1989-09-11,88.55,88.55,88.55,88.55
1989-09-11,90.14,90.14,90.14,90.14
1989-09-11,90.84,90.84,90.84,90.84
1989-09-11,90.92,90.92,90.92,90.92
1989-09-11,89.86,89.86,89.86,89.86
1989-09-11,90.35,90.35,90.35,90.35
