Date,Open,High,Low,Close
2020-03-12,377.11,377.11,336.51,336.66
2020-03-13,336.69,381.23,336.69,381.2
2020-03-16,379.83,379.83,327.74,327.87
2020-03-17,327.9,349.4,322.86,346.78
2020-03-18,346.75,346.75,302.47,316.1
2020-03-19,316.08,327.95,299.17,323.22
2020-03-20,324.47,328.5,308.38,312.65
2020-03-23,310.55,310.55,291.39,293.55
2020-03-24,295.75,332.26,295.75,330.99
2020-03-25,331.02,353.1,323.5,339.78
2020-03-26,340.6,363.05,340.6,361.62
2020-03-27,361.3,361.3,342.62,349.66
2020-03-30,349.83,357.97,343.43,356.7
2020-03-31,355.98,356.59,343.62,346.02
2020-04-01,341.45,341.45,322.49,325.37
2020-04-02,325.33,335.46,322.69,333.4
2020-04-03,333.4,333.66,321.66,325.95
2020-04-06,329.5,352.37,329.5,350.26
2020-04-07,350.39,368.8,350.39,353.56
2020-04-08,353.57,370.6,353.57,369.12
2020-04-09,369.17,392.87,369.17,388.28
2020-04-13,387.96,387.96,371.3,374.38
2020-04-14,376.62,383.95,369.18,375.62
2020-04-15,374.41,374.41,358.03,359.22
2020-04-16,359.31,359.31,350.15,352.99
2020-04-17,352.99,373.95,352.99,372.64
2020-04-20,370.61,371.12,361.5,365.35
2020-04-21,364.25,364.25,352.46,353.65
2020-04-22,353.69,361.71,353.69,357.5
2020-04-23,357.48,362.96,355.61,355.96
2020-04-24,357.6,362.43,354.46,360.99
2020-04-27,361.05,375.23,361.05,374.02
2020-04-28,374.02,387.39,374.02,377.42
2020-04-29,378.93,392.76,378.93,388.77
2020-04-30,388.77,388.77,376.73,378.34
2020-05-01,378.06,378.06,363.93,365.79
2020-05-04,365.76,365.76,356.07,362.44
2020-05-05,362.45,369.52,362.04,362.19
2020-05-06,362.65,365.71,353.73,353.83
2020-05-07,353.85,367.57,353.85,361.68
2020-05-08,363.27,370.0,363.27,369.6
2020-05-11,369.58,369.58,360.65,362.42
2020-05-12,362.63,365.13,352.73,352.74
2020-05-13,351.74,351.74,340.03,342.14
2020-05-14,342.13,351.47,333.04,351.18
2020-05-15,350.98,351.48,345.15,348.6
2020-05-18,348.63,369.48,348.63,367.15
2020-05-19,367.03,367.03,357.82,357.89
2020-05-20,361.87,367.85,361.87,365.83
2020-05-21,364.69,367.89,362.68,364.54
2020-05-22,364.54,364.71,359.67,363.6
2020-05-26,363.85,385.97,363.85,381.92
2020-05-27,384.25,398.61,384.25,398.5
2020-05-28,398.57,402.34,391.31,392.28
2020-05-29,391.27,391.27,384.2,387.52
2020-06-01,387.52,393.93,386.92,392.01
2020-06-02,392.23,398.05,392.23,395.23
2020-06-03,396.74,411.79,396.74,410.36
2020-06-04,410.33,418.46,405.95,418.46
2020-06-05,418.64,443.8,418.64,434.64
2020-06-08,434.64,443.11,434.64,442.27
2020-06-09,442.13,442.13,429.14,432.93
2020-06-10,432.92,432.92,416.63,416.7
2020-06-11,416.11,416.11,382.19,382.62
2020-06-12,382.65,397.7,382.65,394.14
2020-06-15,394.08,400.68,380.21,399.56
2020-06-16,403.84,414.35,397.03,405.29
2020-06-17,405.37,406.5,399.26,399.73
2020-06-18,399.7,402.67,395.28,399.37
2020-06-19,400.86,404.77,392.33,396.68
2020-06-22,396.68,397.3,391.98,394.78
2020-06-23,394.86,402.88,394.86,396.43
2020-06-24,396.3,396.3,381.55,382.51
2020-06-25,382.46,393.23,380.77,392.86
2020-06-26,392.81,392.81,374.79,375.84
2020-06-29,376.05,382.03,376.05,379.56
2020-06-30,379.55,387.3,377.91,385.49
2020-07-01,385.44,388.28,380.8,381.5
2020-07-02,381.52,390.8,380.94,381.75
2020-07-06,381.77,392.63,381.77,389.19
2020-07-07,389.19,389.19,380.12,381.12
2020-07-08,381.11,385.84,379.72,385.14
2020-07-09,385.14,385.5,373.87,376.87
