Date,Open,High,Low,Close
2020-03-12,543.71,543.71,489.85,490.22
2020-03-13,490.22,528.6,490.22,528.6
2020-03-16,528.02,528.02,467.94,468.1
2020-03-17,468.1,491.22,458.8,487.75
2020-03-18,487.75,487.75,423.05,452.86
2020-03-19,452.83,460.29,430.7,454.35
2020-03-20,456.09,462.35,429.87,431.44
2020-03-23,429.77,429.77,404.09,412.06
2020-03-24,414.72,465.91,414.72,464.6
2020-03-25,464.56,507.23,463.35,489.2
2020-03-26,489.81,522.68,489.81,520.58
2020-03-27,519.8,519.8,490.9,498.02
2020-03-30,498.22,507.19,490.51,505.54
2020-03-31,504.73,508.99,497.48,499.12
2020-04-01,492.93,492.93,469.94,476.24
2020-04-02,476.24,488.15,470.81,483.2
2020-04-03,491.31,491.31,471.58,475.7
2020-04-06,480.13,511.93,480.13,509.1
2020-04-07,509.1,533.58,508.03,508.15
2020-04-08,508.15,528.71,508.15,526.68
2020-04-09,526.68,543.43,526.68,534.19
2020-04-13,534.12,534.12,514.16,518.92
2020-04-14,521.44,533.66,521.44,528.73
2020-04-15,528.0,528.0,505.64,513.82
2020-04-16,513.9,513.9,502.23,509.49
2020-04-17,509.49,534.54,509.49,533.43
2020-04-20,529.15,529.15,517.52,519.05
2020-04-21,517.86,517.86,504.95,506.51
2020-04-22,506.84,517.52,506.84,512.31
2020-04-23,512.31,526.38,512.31,516.24
2020-04-24,518.82,521.88,512.24,520.2
2020-04-27,520.2,536.12,520.2,533.32
2020-04-28,533.32,548.94,533.32,543.13
2020-04-29,544.92,559.29,544.92,553.65
2020-04-30,553.59,553.59,538.8,542.35
2020-05-01,542.43,542.43,522.78,526.21
2020-05-04,526.21,526.21,512.17,519.21
2020-05-05,519.28,528.36,519.28,521.43
2020-05-06,521.73,524.37,513.98,514.31
2020-05-07,514.45,526.5,514.45,520.17
2020-05-08,521.43,533.76,521.43,533.16
2020-05-11,533.01,533.01,523.13,526.51
2020-05-12,526.38,529.39,511.55,511.55
2020-05-13,510.33,510.33,494.09,498.43
2020-05-14,498.43,503.28,480.84,503.27
2020-05-15,502.88,504.48,495.92,501.72
2020-05-18,501.83,538.02,501.83,534.9
2020-05-19,534.85,538.55,527.99,528.03
2020-05-20,533.45,542.67,533.45,537.56
2020-05-21,536.8,542.83,534.95,538.45
2020-05-22,538.45,539.65,533.49,537.84
2020-05-26,537.84,564.87,537.84,560.67
2020-05-27,561.43,579.71,561.43,579.41
2020-05-28,579.43,584.69,572.85,573.74
2020-05-29,572.53,573.38,563.29,570.15
