Date,Open,High,Low,Close
1989-09-11,72.88,72.88,72.88,72.88
1989-09-11,73.52,73.52,73.52,73.52
1989-09-11,72.91,72.91,72.91,72.91
1989-09-11,72.68,72.68,72.68,72.68
1989-09-11,73.04,73.04,73.04,73.04
1989-09-11,72.92,72.92,72.92,72.92
1989-09-11,72.46,72.46,72.46,72.46
1989-09-11,72.71,72.71,72.71,72.71
1989-09-11,72.84,72.84,72.84,72.84
1989-09-11,73.01,73.01,73.01,73.01
1989-09-11,72.9,72.9,72.9,72.9
1989-09-11,73.18,73.18,73.18,73.18
1989-09-11,71.33,71.33,71.33,71.33
1989-09-11,70.62,70.62,70.62,70.62
1989-09-11,70.58,70.58,70.58,70.58
1989-09-11,70.32,70.32,70.32,70.32
1989-09-11,69.35,69.35,69.35,69.35
1989-09-11,70.51,70.51,70.51,70.51
1989-09-11,70.8,70.8,70.8,70.8
1989-09-11,71.17,71.17,71.17,71.17
1989-09-11,72.46,72.46,72.46,72.46
1989-09-11,72.22,72.22,72.22,72.22
1989-09-11,71.66,71.66,71.66,71.66
1989-09-11,71.49,71.49,71.49,71.49
1989-09-11,67.02,67.02,67.02,67.02
1989-09-11,68.79,68.79,68.79,68.79
1989-09-11,68.46,68.46,68.46,68.46
1989-09-11,68.7,68.7,68.7,68.7
1989-09-11,70.25,70.25,70.25,70.25
1989-09-11,70.01,70.01,70.01,70.01
1989-09-11,69.31,69.31,69.31,69.31
1989-09-11,69.27,69.27,69.27,69.27
1989-09-11,68.64,68.64,68.64,68.64
1989-09-11,67.31,67.31,67.31,67.31
1989-09-11,66.79,66.79,66.79,66.79
1989-09-11,66.43,66.43,66.43,66.43
1989-09-11,67.48,67.48,67.48,67.48
1989-09-11,67.41,67.41,67.41,67.41
1989-09-11,65.39,65.39,65.39,65.39
1989-09-11,64.97,64.97,64.97,64.97
1989-09-11,63.81,63.81,63.81,63.81
1989-09-11,64.67,64.67,64.67,64.67
1989-09-11,64.56,64.56,64.56,64.56
1989-09-11,64.72,64.72,64.72,64.72
1989-09-11,65.32,65.32,65.32,65.32
1989-09-11,65.04,65.04,65.04,65.04
1989-09-11,64.81,64.81,64.81,64.81
1989-09-11,65.0,65.0,65.0,65.0
1989-09-11,65.02,65.02,65.02,65.02
1989-09-11,66.22,66.22,66.22,66.22
1989-09-11,65.88,65.88,65.88,65.88
1989-09-11,66.14,66.14,66.14,66.14
1989-09-11,66.66,66.66,66.66,66.66
1989-09-11,67.07,67.07,67.07,67.07
1989-09-11,66.78,66.78,66.78,66.78
1989-09-11,66.21,66.21,66.21,66.21
1989-09-11,65.75,65.75,65.75,65.75
1989-09-11,66.12,66.12,66.12,66.12
1989-09-11,66.22,66.22,66.22,66.22
1989-09-11,67.25,67.25,67.25,67.25
1989-09-11,67.09,67.09,67.09,67.09
1989-09-11,66.48,66.48,66.48,66.48
1989-09-11,66.19,66.19,66.19,66.19
1989-09-11,65.61,65.61,65.61,65.61
1989-09-11,64.73,64.73,64.73,64.73
1989-09-11,64.83,64.83,64.83,64.83
1989-09-11,64.39,64.39,64.39,64.39
1989-09-11,63.79,63.79,63.79,63.79
1989-09-11,63.51,63.51,63.51,63.51
1989-09-11,62.76,62.76,62.76,62.76
1989-09-11,63.57,63.57,63.57,63.57
1989-09-11,63.67,63.67,63.67,63.67
1989-09-11,64.14,64.14,64.14,64.14
1989-09-11,64.5,64.5,64.5,64.5
1989-09-11,64.12,64.12,64.12,64.12
1989-09-11,64.47,64.47,64.47,64.47
1989-09-11,64.21,64.21,64.21,64.21
1989-09-11,64.7,64.7,64.7,64.7
1989-09-11,67.14,67.14,67.14,67.14
1989-09-11,67.29,67.29,67.29,67.29
1989-09-11,67.64,67.64,67.64,67.64
1989-09-11,67.26,67.26,67.26,67.26
1989-09-11,67.75,67.75,67.75,67.75
1989-09-11,67.18,67.18,67.18,67.18
1989-09-11,66.56,66.56,66.56,66.56
1989-09-11,66.79,66.79,66.79,66.79
1989-09-11,65.26,65.26,65.26,65.26
1989-09-11,65.18,65.18,65.18,65.18
1989-09-11,67.04,67.04,67.04,67.04
1989-09-11,66.24,66.24,66.24,66.24
1989-09-11,65.89,65.89,65.89,65.89
1989-09-11,65.46,65.46,65.46,65.46
1989-09-11,64.1,64.1,64.1,64.1
1989-09-11,64.7,64.7,64.7,64.7
1989-09-11,64.84,64.84,64.84,64.84
1989-09-11,64.2,64.2,64.2,64.2
1989-09-11,64.25,64.25,64.25,64.25
1989-09-11,64.26,64.26,64.26,64.26
1989-09-11,64.17,64.17,64.17,64.17
1989-09-11,65.19,65.19,65.19,65.19
1989-09-11,64.95,64.95,64.95,64.95
1989-09-11,65.26,65.26,65.26,65.26
1989-09-11,66.01,66.01,66.01,66.01
1989-09-11,66.31,66.31,66.31,66.31
1989-09-11,67.83,67.83,67.83,67.83
1989-09-11,67.74,67.74,67.74,67.74
1989-09-11,67.74,67.74,67.74,67.74
1989-09-11,66.79,66.79,66.79,66.79
1989-09-11,67.58,67.58,67.58,67.58
1989-09-11,67.93,67.93,67.93,67.93
1989-09-11,68.04,68.04,68.04,68.04
1989-09-11,67.08,67.08,67.08,67.08
1989-09-11,66.21,66.21,66.21,66.21
1989-09-11,66.69,66.69,66.69,66.69
1989-09-11,66.01,66.01,66.01,66.01
1989-09-11,65.52,65.52,65.52,65.52
1989-09-11,66.58,66.58,66.58,66.58
1989-09-11,66.76,66.76,66.76,66.76
1989-09-11,67.54,67.54,67.54,67.54
1989-09-11,67.38,67.38,67.38,67.38
1989-09-11,68.34,68.34,68.34,68.34
1989-09-11,68.27,68.27,68.27,68.27
1989-09-11,68.94,68.94,68.94,68.94
1989-09-11,69.16,69.16,69.16,69.16
1989-09-11,70.35,70.35,70.35,70.35
1989-09-11,70.12,70.12,70.12,70.12
1989-09-11,70.47,70.47,70.47,70.47
1989-09-11,70.03,70.03,70.03,70.03
1989-09-11,69.98,69.98,69.98,69.98
1989-09-11,70.48,70.48,70.48,70.48
1989-09-11,71.94,71.94,71.94,71.94
1989-09-11,73.23,73.23,73.23,73.23
1989-09-11,72.48,72.48,72.48,72.48
1989-09-11,71.89,71.89,71.89,71.89
1989-09-11,70.88,70.88,70.88,70.88
1989-09-11,70.7,70.7,70.7,70.7
1989-09-11,70.52,70.52,70.52,70.52
1989-09-11,70.87,70.87,70.87,70.87
1989-09-11,70.48,70.48,70.48,70.48
1989-09-11,70.44,70.44,70.44,70.44
1989-09-11,70.06,70.06,70.06,70.06
1989-09-11,70.04,70.04,70.04,70.04
1989-09-11,71.05,71.05,71.05,71.05
1989-09-11,70.66,70.66,70.66,70.66
1989-09-11,69.94,69.94,69.94,69.94
1989-09-11,69.28,69.28,69.28,69.28
1989-09-11,69.19,69.19,69.19,69.19
1989-09-11,70.08,70.08,70.08,70.08
1989-09-11,70.6,70.6,70.6,70.6
1989-09-11,70.76,70.76,70.76,70.76
1989-09-11,71.68,71.68,71.68,71.68
1989-09-11,71.38,71.38,71.38,71.38
1989-09-11,70.27,70.27,70.27,70.27
1989-09-11,69.85,69.85,69.85,69.85
1989-09-11,69.74,69.74,69.74,69.74
1989-09-11,69.28,69.28,69.28,69.28
1989-09-11,69.0,69.0,69.0,69.0
1989-09-11,69.48,69.48,69.48,69.48
1989-09-11,69.45,69.45,69.45,69.45
1989-09-11,68.48,68.48,68.48,68.48
1989-09-11,69.42,69.42,69.42,69.42
1989-09-11,69.25,69.25,69.25,69.25
1989-09-11,70.04,70.04,70.04,70.04
1989-09-11,70.45,70.45,70.45,70.45
1989-09-11,71.31,71.31,71.31,71.31
1989-09-11,71.89,71.89,71.89,71.89
1989-09-11,72.06,72.06,72.06,72.06
1989-09-11,72.21,72.21,72.21,72.21
1989-09-11,72.84,72.84,72.84,72.84
1989-09-11,74.13,74.13,74.13,74.13
1989-09-11,74.53,74.53,74.53,74.53
1989-09-11,74.94,74.94,74.94,74.94
1989-09-11,74.69,74.69,74.69,74.69
1989-09-11,74.97,74.97,74.97,74.97
1989-09-11,74.81,74.81,74.81,74.81
1989-09-11,75.83,75.83,75.83,75.83
1989-09-11,76.3,76.3,76.3,76.3
1989-09-11,77.41,77.41,77.41,77.41
1989-09-11,77.67,77.67,77.67,77.67
1989-09-11,76.27,76.27,76.27,76.27
1989-09-11,78.1,78.1,78.1,78.1
1989-09-11,78.21,78.21,78.21,78.21
1989-09-11,78.06,78.06,78.06,78.06
1989-09-11,77.76,77.76,77.76,77.76
1989-09-11,78.67,78.67,78.67,78.67
1989-09-11,78.38,78.38,78.38,78.38
1989-09-11,78.41,78.41,78.41,78.41
1989-09-11,78.31,78.31,78.31,78.31
1989-09-11,77.19,77.19,77.19,77.19
1989-09-11,77.74,77.74,77.74,77.74
1989-09-11,78.48,78.48,78.48,78.48
1989-09-11,78.59,78.59,78.59,78.59
1989-09-11,78.34,78.34,78.34,78.34
1989-09-11,78.12,78.12,78.12,78.12
1989-09-11,76.76,76.76,76.76,76.76
1989-09-11,76.92,76.92,76.92,76.92
1989-09-11,76.9,76.9,76.9,76.9
1989-09-11,77.35,77.35,77.35,77.35
1989-09-11,75.78,75.78,75.78,75.78
1989-09-11,75.44,75.44,75.44,75.44
1989-09-11,75.07,75.07,75.07,75.07
1989-09-11,75.76,75.76,75.76,75.76
1989-09-11,76.27,76.27,76.27,76.27
1989-09-11,76.6,76.6,76.6,76.6
1989-09-11,77.34,77.34,77.34,77.34
1989-09-11,76.95,76.95,76.95,76.95
1989-09-11,76.36,76.36,76.36,76.36
1989-09-11,76.79,76.79,76.79,76.79
1989-09-11,77.44,77.44,77.44,77.44
1989-09-11,76.95,76.95,76.95,76.95
1989-09-11,77.74,77.74,77.74,77.74
1989-09-11,77.76,77.76,77.76,77.76
1989-09-11,77.97,77.97,77.97,77.97
1989-09-11,78.81,78.81,78.81,78.81
1989-09-11,77.88,77.88,77.88,77.88
1989-09-11,77.02,77.02,77.02,77.02
1989-09-11,76.38,76.38,76.38,76.38
1989-09-11,74.21,74.21,74.21,74.21
1989-09-11,72.84,72.84,72.84,72.84
1989-09-11,71.94,71.94,71.94,71.94
1989-09-11,72.35,72.35,72.35,72.35
1989-09-11,71.65,71.65,71.65,71.65
1989-09-11,70.74,70.74,70.74,70.74
1989-09-11,71.0,71.0,71.0,71.0
1989-09-11,70.93,70.93,70.93,70.93
1989-09-11,70.47,70.47,70.47,70.47
1989-09-11,69.1,69.1,69.1,69.1
1989-09-11,67.47,67.47,67.47,67.47
1989-09-11,64.8,64.8,64.8,64.8
1989-09-11,64.83,64.83,64.83,64.83
1989-09-11,65.29,65.29,65.29,65.29
1989-09-11,65.23,65.23,65.23,65.23
1989-09-11,64.54,64.54,64.54,64.54
1989-09-11,65.48,65.48,65.48,65.48
1989-09-11,65.37,65.37,65.37,65.37
1989-09-11,65.4,65.4,65.4,65.4
1989-09-11,64.07,64.07,64.07,64.07
1989-09-11,62.45,62.45,62.45,62.45
1989-09-11,62.18,62.18,62.18,62.18
1989-09-11,60.95,60.95,60.95,60.95
1989-09-11,60.25,60.25,60.25,60.25
1989-09-11,59.21,59.21,59.21,59.21
1989-09-11,61.31,61.31,61.31,61.31
1989-09-11,63.57,63.57,63.57,63.57
1989-09-11,63.32,63.32,63.32,63.32
1989-09-11,63.24,63.24,63.24,63.24
1989-09-11,61.72,61.72,61.72,61.72
1989-09-11,62.06,62.06,62.06,62.06
1989-09-11,62.4,62.4,62.4,62.4
1989-09-11,61.82,61.82,61.82,61.82
1989-09-11,60.91,60.91,60.91,60.91
1989-09-11,61.8,61.8,61.8,61.8
1989-09-11,61.75,61.75,61.75,61.75
1989-09-11,61.7,61.7,61.7,61.7
1989-09-11,61.82,61.82,61.82,61.82
1989-09-11,60.5,60.5,60.5,60.5
1989-09-11,60.06,60.06,60.06,60.06
1989-09-11,60.13,60.13,60.13,60.13
1989-09-11,60.72,60.72,60.72,60.72
1989-09-11,61.02,61.02,61.02,61.02
1989-09-11,59.97,59.97,59.97,59.97
1989-09-11,59.53,59.53,59.53,59.53
1989-09-11,58.19,58.19,58.19,58.19
1989-09-11,59.29,59.29,59.29,59.29
1989-09-11,58.41,58.41,58.41,58.41
1989-09-11,57.6,57.6,57.6,57.6
