Date,Open,High,Low,Close
2020-03-12,299.29,299.29,271.96,271.97
2020-03-13,271.97,290.88,270.11,290.78
2020-03-16,290.78,290.78,255.87,257.52
2020-03-17,257.52,277.25,255.62,274.66
2020-03-18,274.66,274.66,240.49,257.74
2020-03-19,257.74,267.39,247.48,263.45
2020-03-20,264.0,264.98,250.56,254.16
2020-03-23,252.39,254.15,240.65,241.67
2020-03-24,245.38,271.29,245.38,269.78
2020-03-25,269.78,286.93,266.55,275.71
2020-03-26,276.41,290.3,276.41,289.32
2020-03-27,289.09,289.09,276.42,278.3
2020-03-30,280.1,288.26,280.01,287.35
2020-03-31,285.79,290.28,282.23,283.23
2020-04-01,279.85,279.85,269.6,270.22
2020-04-02,270.22,281.03,270.12,274.27
2020-04-03,274.27,277.05,266.77,267.86
2020-04-06,272.25,289.91,272.25,288.23
2020-04-07,288.23,305.48,288.23,295.2
2020-04-08,295.2,311.13,295.2,309.95
2020-04-09,309.95,324.95,309.95,323.19
2020-04-13,323.1,323.1,311.95,316.31
2020-04-14,319.36,324.61,317.29,319.95
2020-04-15,319.07,319.07,303.4,305.53
2020-04-16,305.5,306.4,298.96,303.9
2020-04-17,303.9,316.84,303.9,316.31
2020-04-20,313.56,315.33,307.73,308.28
2020-04-21,307.76,307.76,299.68,300.64
2020-04-22,300.64,308.52,300.64,307.03
2020-04-23,307.03,314.92,307.03,308.69
2020-04-24,311.21,314.37,308.23,313.51
2020-04-27,313.51,322.99,313.51,321.78
2020-04-28,321.78,329.88,321.78,328.08
2020-04-29,328.48,338.1,328.48,336.5
2020-04-30,336.5,336.5,326.19,326.55
2020-05-01,326.33,326.33,316.86,319.47
2020-05-04,319.47,321.06,314.15,320.75
2020-05-05,320.75,325.87,320.75,321.71
2020-05-06,321.89,324.43,315.85,315.85
2020-05-07,315.85,325.29,315.85,322.59
2020-05-08,324.79,330.43,324.79,330.32
2020-05-11,330.32,330.32,321.96,325.31
2020-05-12,325.4,328.23,320.23,320.23
2020-05-13,319.33,319.69,310.69,313.24
2020-05-14,313.24,317.09,304.12,317.09
2020-05-15,317.03,320.14,314.07,320.14
2020-05-18,320.14,337.14,320.14,334.75
2020-05-19,334.72,335.92,331.3,331.4
2020-05-20,335.98,340.14,335.91,336.79
2020-05-21,335.66,337.15,332.3,333.44
2020-05-22,333.44,333.44,330.48,332.86
2020-05-26,332.86,343.64,332.86,341.73
2020-05-27,342.85,347.23,340.95,345.23
