Date,Open,High,Low,Close
2020-03-12,218.7,218.7,198.65,200.75
2020-03-13,200.75,218.37,200.75,218.08
2020-03-16,218.08,218.08,181.6,181.99
2020-03-17,181.99,199.26,181.86,194.62
2020-03-18,194.62,194.62,175.36,180.1
2020-03-19,180.1,181.85,173.22,177.68
2020-03-20,178.29,182.61,166.53,167.95
2020-03-23,167.56,167.56,154.94,158.62
2020-03-24,159.5,172.63,159.5,172.18
2020-03-25,172.04,189.05,171.24,179.92
2020-03-26,180.28,194.25,180.28,193.97
2020-03-27,193.12,198.37,187.55,193.83
2020-03-30,194.86,199.77,190.8,199.13
2020-03-31,198.06,198.06,188.14,192.64
2020-04-01,189.05,189.05,176.9,180.87
2020-04-02,180.87,185.55,178.4,183.29
2020-04-03,183.29,184.22,178.63,181.9
2020-04-06,185.68,195.71,185.68,195.02
2020-04-07,195.02,204.55,195.02,195.25
2020-04-08,195.25,210.62,195.25,209.71
2020-04-09,209.85,223.05,209.85,220.5
2020-04-13,219.92,219.92,209.13,210.39
2020-04-14,211.82,217.97,211.82,217.24
2020-04-15,216.65,216.65,207.2,208.96
2020-04-16,209.02,210.29,206.42,207.72
2020-04-17,207.72,215.05,207.72,214.41
2020-04-20,211.99,211.99,206.4,206.4
2020-04-21,204.56,204.56,200.88,203.08
2020-04-22,203.08,208.44,203.08,206.95
2020-04-23,206.95,208.4,204.05,204.49
2020-04-24,205.04,206.02,202.96,205.08
2020-04-27,205.08,211.75,205.08,211.23
2020-04-28,211.23,217.14,211.15,211.28
2020-04-29,213.03,216.19,211.76,212.02
2020-04-30,212.02,212.02,206.96,210.61
2020-05-01,210.27,210.27,202.69,203.79
2020-05-04,203.79,203.84,199.16,203.76
2020-05-05,203.76,207.71,203.76,205.04
2020-05-06,205.35,206.28,201.26,201.26
2020-05-07,201.26,205.41,201.26,202.97
2020-05-08,204.89,207.12,204.89,206.76
2020-05-11,206.76,207.23,203.32,204.25
2020-05-12,204.35,204.94,195.57,195.57
2020-05-13,194.93,196.62,191.51,192.42
2020-05-14,192.42,192.6,186.19,192.6
2020-05-15,192.6,192.6,188.35,191.75
2020-05-18,192.33,202.76,192.33,201.21
2020-05-19,201.18,201.18,197.42,197.48
2020-05-20,199.3,199.55,197.64,199.16
2020-05-21,198.22,199.68,196.74,198.09
2020-05-22,198.09,202.56,197.51,202.46
2020-05-26,202.46,210.2,202.46,208.87
2020-05-27,209.45,213.35,208.14,213.35
2020-05-28,213.35,216.08,213.35,216.0
2020-05-29,214.78,215.44,212.63,214.27
2020-06-01,214.27,220.39,214.08,218.78
2020-06-02,219.17,221.02,217.92,220.22
2020-06-03,220.59,226.69,220.59,225.51
2020-06-04,225.51,225.51,219.57,221.44
2020-06-05,221.85,230.82,221.85,229.41
2020-06-08,229.41,234.37,229.41,234.35
2020-06-09,234.52,234.52,229.21,231.73
2020-06-10,231.73,231.73,226.07,227.3
2020-06-11,227.3,227.3,213.07,213.07
2020-06-12,213.07,220.56,213.07,219.81
2020-06-15,219.81,223.05,213.5,222.04
2020-06-16,226.07,229.68,222.9,225.93
2020-06-17,226.4,227.49,223.37,223.37
2020-06-18,223.37,223.37,219.45,220.38
2020-06-19,221.42,223.15,216.48,218.11
2020-06-22,218.11,218.14,214.83,217.56
2020-06-23,217.71,219.75,216.51,216.79
2020-06-24,216.79,216.79,206.95,211.03
2020-06-25,210.75,213.36,209.57,213.32
2020-06-26,213.32,213.59,209.42,209.45
2020-06-29,209.45,213.01,208.92,213.0
2020-06-30,213.25,217.1,213.12,216.39
2020-07-01,216.41,222.68,216.41,221.96
2020-07-02,221.96,225.38,220.56,221.21
2020-07-06,221.21,225.58,221.21,221.59
2020-07-07,221.59,221.59,217.96,218.04
2020-07-08,218.15,219.2,216.04,217.69
2020-07-09,217.69,217.8,213.59,216.96
2020-07-10,217.25,218.21,216.14,217.32
2020-07-13,217.32,218.33,213.55,213.77
2020-07-14,213.77,216.44,213.65,215.85
2020-07-15,215.85,219.27,215.69,216.95
2020-07-16,216.93,216.93,213.85,214.37
2020-07-17,214.37,218.33,214.26,217.37
2020-07-20,217.32,218.53,214.6,215.19
2020-07-21,215.19,217.45,214.72,215.21
2020-07-22,215.21,217.92,213.69,217.89
2020-07-23,217.89,218.68,214.55,216.82
2020-07-24,216.82,217.38,215.53,215.96
2020-07-27,215.78,218.58,213.91,218.37
2020-07-28,218.37,223.82,218.25,222.85
2020-07-29,222.85,227.07,222.85,227.07
2020-07-30,227.28,227.28,222.42,225.18
2020-07-31,225.18,225.18,221.84,224.82
2020-08-03,224.82,224.82,220.75,221.52
2020-08-04,221.46,225.31,221.27,224.53
2020-08-05,224.53,225.9,222.38,223.1
2020-08-06,223.1,223.73,221.78,223.31
2020-08-07,223.19,226.55,222.41,226.33
2020-08-10,226.31,227.35,225.14,225.96
2020-08-11,226.04,228.09,220.99,221.74
2020-08-12,222.46,225.0,222.46,224.67
2020-08-13,224.47,225.42,221.62,221.91
2020-08-14,221.91,224.0,221.52,222.22
2020-08-17,222.25,224.2,221.71,224.2
2020-08-18,224.2,224.66,222.55,223.86
2020-08-19,223.83,224.25,219.1,219.35
2020-08-20,219.04,222.66,218.02,221.72
2020-08-21,221.72,222.87,219.68,222.26
2020-08-24,222.26,222.82,219.56,222.8
2020-08-25,222.8,223.48,221.58,223.48
2020-08-26,223.48,223.48,220.42,221.82
2020-08-27,221.95,225.43,221.95,224.86
2020-08-28,224.85,226.5,223.24,226.49
2020-08-31,226.49,226.49,223.86,224.57
2020-09-01,224.57,224.57,222.33,224.23
2020-09-02,224.16,229.4,222.96,229.25
2020-09-03,229.58,230.32,223.85,225.49
2020-09-04,225.49,227.22,220.81,224.44
2020-09-08,224.44,224.44,220.17,221.56
2020-09-09,221.56,227.0,221.56,224.28
2020-09-10,224.28,224.32,220.93,220.99
2020-09-11,221.29,221.82,218.65,220.38
2020-09-14,220.38,225.75,220.38,225.13
2020-09-15,225.13,230.19,225.13,228.26
2020-09-16,228.96,231.82,228.81,229.49
2020-09-17,229.49,229.49,222.99,224.47
2020-09-18,224.47,224.47,219.7,220.08
2020-09-21,220.08,220.08,213.06,214.06
2020-09-22,214.06,218.34,214.06,216.76
2020-09-23,216.51,216.51,210.15,210.45
2020-09-24,210.45,214.03,209.9,211.23
2020-09-25,211.23,215.53,210.07,215.36
2020-09-28,215.36,219.88,215.36,219.02
2020-09-29,219.02,219.08,216.46,217.76
2020-09-30,217.76,220.7,216.7,218.95
2020-10-01,218.95,222.38,218.42,222.34
2020-10-02,222.34,226.53,219.22,225.85
2020-10-05,225.85,227.41,222.56,227.2
2020-10-06,227.27,228.32,224.6,225.43
2020-10-07,225.43,227.24,225.16,226.06
2020-10-08,226.06,230.3,226.06,229.64
2020-10-09,229.66,231.01,228.07,228.95
2020-10-12,228.95,230.55,227.91,230.07
2020-10-13,230.07,230.07,225.05,226.17
2020-10-14,226.17,226.42,223.32,223.54
2020-10-15,223.54,226.39,222.18,224.58
2020-10-16,224.58,225.1,223.15,223.66
2020-10-19,223.74,224.65,219.99,220.19
2020-10-20,220.19,223.24,220.19,221.79
2020-10-21,221.79,222.25,220.48,220.97
2020-10-22,221.16,221.16,219.0,219.28
2020-10-23,219.96,221.3,219.18,220.77
2020-10-26,220.77,220.77,216.1,218.11
2020-10-27,218.09,219.32,215.41,215.41
2020-10-28,210.225,210.225,210.225,210.225
2020-10-29,213.035,213.035,213.035,213.035
2020-10-30,211.459,211.459,211.459,211.459
2020-11-02,216.819,216.81856,216.81856,216.81856
2020-11-03,220.036,220.36237,220.36237,220.36237
2020-11-04,220.981,220.981,220.981,220.981
2020-11-05,221.67,221.67,221.67,221.67
2020-11-06,220.741,220.741,220.741,220.741
2020-11-09,226.42,226.42,226.42,226.42
2020-11-10,227.6,227.6,227.6,227.6
2020-11-11,229.363,229.363,229.363,229.363
2020-11-12,229.23,229.79,225.67,227.03
2020-11-13,227.11,232.61,227.11,232.2
2020-11-16,232.51,235.85,230.88,233.38
2020-11-17,233.38,234.49,230.48,233.65
2020-11-18,233.57,235.86,229.72,229.74
2020-11-19,229.54,230.43,227.02,230.02
2020-11-20,230.02,230.25,227.9,228.51
2020-11-23,228.51,230.18,227.34,227.74
2020-11-24,227.93,231.07,227.34,227.68
2020-11-25,227.68,228.4,226.29,228.17
2020-11-27,228.31,228.93,226.91,227.66
2020-11-30,227.65,227.65,224.73,225.82
2020-12-01,225.82,229.33,225.82,228.68
2020-12-02,228.68,229.27,226.02,226.12
2020-12-03,226.12,228.83,226.12,227.78
2020-12-04,228.03,230.91,228.03,230.8
2020-12-07,230.8,230.8,227.84,228.62
2020-12-08,228.62,229.02,227.33,227.47
2020-12-09,227.53,227.9,224.01,225.25
2020-12-10,225.19,226.12,223.42,224.16
2020-12-11,224.08,224.19,221.71,224.15
2020-12-14,224.26,226.92,222.08,222.19
2020-12-15,222.36,226.05,221.78,226.03
2020-12-16,226.03,227.62,224.86,226.06
2020-12-17,226.06,228.93,226.06,228.8
2020-12-18,228.8,228.8,223.07,224.62
