Date,Open,High,Low,Close
1989-09-11,88.17,88.17,88.17,88.17
1989-09-11,88.52,88.52,88.52,88.52
1989-09-11,88.16,88.16,88.16,88.16
1989-09-11,88.35,88.35,88.35,88.35
1989-09-11,89.45,89.45,89.45,89.45
1989-09-11,90.64,90.64,90.64,90.64
1989-09-11,91.28,91.28,91.28,91.28
1989-09-11,91.19,91.19,91.19,91.19
1989-09-11,91.17,91.17,91.17,91.17
1989-09-11,92.33,92.33,92.33,92.33
1989-09-11,90.93,90.93,90.93,90.93
1989-09-11,91.01,91.01,91.01,91.01
1989-09-11,91.28,91.28,91.28,91.28
1989-09-11,92.26,92.26,92.26,92.26
1989-09-11,92.56,92.56,92.56,92.56
1989-09-11,92.65,92.65,92.65,92.65
1989-09-11,93.79,93.79,93.79,93.79
1989-09-11,94.68,94.68,94.68,94.68
1989-09-11,94.67,94.67,94.67,94.67
1989-09-11,95.57,95.57,95.57,95.57
1989-09-11,95.06,95.06,95.06,95.06
1989-09-11,94.24,94.24,94.24,94.24
1989-09-11,93.37,93.37,93.37,93.37
1989-09-11,93.46,93.46,93.46,93.46
1989-09-11,87.83,87.83,87.83,87.83
1989-09-11,91.65,91.65,91.65,91.65
1989-09-11,91.2,91.2,91.2,91.2
1989-09-11,91.39,91.39,91.39,91.39
1989-09-11,92.81,92.81,92.81,92.81
1989-09-11,93.22,93.22,93.22,93.22
1989-09-11,92.25,92.25,92.25,92.25
1989-09-11,91.51,91.51,91.51,91.51
1989-09-11,91.83,91.83,91.83,91.83
1989-09-11,90.82,90.82,90.82,90.82
1989-09-11,89.9,89.9,89.9,89.9
1989-09-11,90.31,90.31,90.31,90.31
1989-09-11,91.36,91.36,91.36,91.36
1989-09-11,91.43,91.43,91.43,91.43
1989-09-11,90.85,90.85,90.85,90.85
1989-09-11,90.57,90.57,90.57,90.57
1989-09-11,89.63,89.63,89.63,89.63
1989-09-11,90.38,90.38,90.38,90.38
1989-09-11,91.21,91.21,91.21,91.21
1989-09-11,90.76,90.76,90.76,90.76
1989-09-11,91.58,91.58,91.58,91.58
1989-09-11,91.59,91.59,91.59,91.59
1989-09-11,91.2,91.2,91.2,91.2
1989-09-11,91.93,91.93,91.93,91.93
1989-09-11,91.48,91.48,91.48,91.48
1989-09-11,91.51,91.51,91.51,91.51
1989-09-11,91.14,91.14,91.14,91.14
1989-09-11,91.4,91.4,91.4,91.4
1989-09-11,92.12,92.12,92.12,92.12
1989-09-11,92.8,92.8,92.8,92.8
1989-09-11,92.82,92.82,92.82,92.82
1989-09-11,92.33,92.33,92.33,92.33
1989-09-11,91.88,91.88,91.88,91.88
1989-09-11,93.41,93.41,93.41,93.41
1989-09-11,95.25,95.25,95.25,95.25
1989-09-11,95.7,95.7,95.7,95.7
1989-09-11,94.9,94.9,94.9,94.9
1989-09-11,94.63,94.63,94.63,94.63
1989-09-11,94.39,94.39,94.39,94.39
1989-09-11,94.65,94.65,94.65,94.65
1989-09-11,95.13,95.13,95.13,95.13
1989-09-11,96.54,96.54,96.54,96.54
1989-09-11,98.79,98.79,98.79,98.79
1989-09-11,98.84,98.84,98.84,98.84
1989-09-11,99.25,99.25,99.25,99.25
1989-09-11,96.97,96.97,96.97,96.97
1989-09-11,96.07,96.07,96.07,96.07
1989-09-11,95.68,95.68,95.68,95.68
1989-09-11,96.22,96.22,96.22,96.22
1989-09-11,98.4,98.4,98.4,98.4
1989-09-11,97.89,97.89,97.89,97.89
1989-09-11,98.13,98.13,98.13,98.13
1989-09-11,99.0,99.0,99.0,99.0
1989-09-11,99.89,99.89,99.89,99.89
1989-09-11,101.27,101.27,101.27,101.27
1989-09-11,100.47,100.47,100.47,100.47
1989-09-11,97.78,97.78,97.78,97.78
1989-09-11,95.64,95.64,95.64,95.64
1989-09-11,97.12,97.12,97.12,97.12
1989-09-11,95.64,95.64,95.64,95.64
1989-09-11,94.04,94.04,94.04,94.04
1989-09-11,93.83,93.83,93.83,93.83
1989-09-11,91.1,91.1,91.1,91.1
1989-09-11,89.94,89.94,89.94,89.94
1989-09-11,91.43,91.43,91.43,91.43
1989-09-11,90.15,90.15,90.15,90.15
1989-09-11,90.42,90.42,90.42,90.42
1989-09-11,90.93,90.93,90.93,90.93
1989-09-11,87.95,87.95,87.95,87.95
1989-09-11,88.8,88.8,88.8,88.8
1989-09-11,88.76,88.76,88.76,88.76
1989-09-11,87.92,87.92,87.92,87.92
1989-09-11,86.33,86.33,86.33,86.33
1989-09-11,86.43,86.43,86.43,86.43
1989-09-11,84.76,84.76,84.76,84.76
1989-09-11,86.98,86.98,86.98,86.98
1989-09-11,86.85,86.85,86.85,86.85
1989-09-11,87.59,87.59,87.59,87.59
1989-09-11,88.13,88.13,88.13,88.13
1989-09-11,86.78,86.78,86.78,86.78
1989-09-11,87.15,87.15,87.15,87.15
1989-09-11,86.43,86.43,86.43,86.43
1989-09-11,86.4,86.4,86.4,86.4
1989-09-11,85.54,85.54,85.54,85.54
1989-09-11,85.74,85.74,85.74,85.74
1989-09-11,86.22,86.22,86.22,86.22
1989-09-11,86.87,86.87,86.87,86.87
1989-09-11,85.65,85.65,85.65,85.65
1989-09-11,83.67,83.67,83.67,83.67
1989-09-11,83.28,83.28,83.28,83.28
1989-09-11,83.45,83.45,83.45,83.45
1989-09-11,83.37,83.37,83.37,83.37
1989-09-11,84.87,84.87,84.87,84.87
1989-09-11,85.8,85.8,85.8,85.8
1989-09-11,86.51,86.51,86.51,86.51
1989-09-11,87.15,87.15,87.15,87.15
1989-09-11,88.13,88.13,88.13,88.13
1989-09-11,87.77,87.77,87.77,87.77
1989-09-11,89.0,89.0,89.0,89.0
1989-09-11,88.24,88.24,88.24,88.24
1989-09-11,89.36,89.36,89.36,89.36
1989-09-11,88.73,88.73,88.73,88.73
1989-09-11,89.1,89.1,89.1,89.1
1989-09-11,88.46,88.46,88.46,88.46
1989-09-11,87.93,87.93,87.93,87.93
1989-09-11,88.32,88.32,88.32,88.32
1989-09-11,89.68,89.68,89.68,89.68
1989-09-11,90.14,90.14,90.14,90.14
1989-09-11,89.61,89.61,89.61,89.61
1989-09-11,89.24,89.24,89.24,89.24
1989-09-11,88.4,88.4,88.4,88.4
1989-09-11,89.07,89.07,89.07,89.07
1989-09-11,89.07,89.07,89.07,89.07
1989-09-11,90.66,90.66,90.66,90.66
1989-09-11,91.34,91.34,91.34,91.34
1989-09-11,91.09,91.09,91.09,91.09
1989-09-11,90.85,90.85,90.85,90.85
1989-09-11,90.51,90.51,90.51,90.51
1989-09-11,91.88,91.88,91.88,91.88
1989-09-11,90.74,90.74,90.74,90.74
1989-09-11,91.05,91.05,91.05,91.05
1989-09-11,91.02,91.02,91.02,91.02
1989-09-11,91.39,91.39,91.39,91.39
1989-09-11,91.61,91.61,91.61,91.61
1989-09-11,91.58,91.58,91.58,91.58
1989-09-11,92.0,92.0,92.0,92.0
1989-09-11,92.29,92.29,92.29,92.29
1989-09-11,92.1,92.1,92.1,92.1
1989-09-11,90.35,90.35,90.35,90.35
1989-09-11,89.63,89.63,89.63,89.63
1989-09-11,88.57,88.57,88.57,88.57
1989-09-11,87.45,87.45,87.45,87.45
1989-09-11,87.08,87.08,87.08,87.08
1989-09-11,87.59,87.59,87.59,87.59
1989-09-11,87.84,87.84,87.84,87.84
1989-09-11,86.88,86.88,86.88,86.88
1989-09-11,87.53,87.53,87.53,87.53
1989-09-11,87.98,87.98,87.98,87.98
1989-09-11,88.01,88.01,88.01,88.01
1989-09-11,88.36,88.36,88.36,88.36
1989-09-11,89.38,89.38,89.38,89.38
1989-09-11,89.68,89.68,89.68,89.68
1989-09-11,90.33,90.33,90.33,90.33
1989-09-11,90.77,90.77,90.77,90.77
1989-09-11,91.07,91.07,91.07,91.07
1989-09-11,93.66,93.66,93.66,93.66
1989-09-11,94.82,94.82,94.82,94.82
1989-09-11,94.03,94.03,94.03,94.03
1989-09-11,94.69,94.69,94.69,94.69
1989-09-11,94.66,94.66,94.66,94.66
1989-09-11,94.91,94.91,94.91,94.91
1989-09-11,95.32,95.32,95.32,95.32
1989-09-11,94.98,94.98,94.98,94.98
1989-09-11,95.07,95.07,95.07,95.07
1989-09-11,94.23,94.23,94.23,94.23
1989-09-11,92.84,92.84,92.84,92.84
1989-09-11,94.65,94.65,94.65,94.65
1989-09-11,94.89,94.89,94.89,94.89
1989-09-11,95.02,95.02,95.02,95.02
1989-09-11,95.34,95.34,95.34,95.34
1989-09-11,96.0,96.0,96.0,96.0
1989-09-11,95.57,95.57,95.57,95.57
1989-09-11,95.19,95.19,95.19,95.19
1989-09-11,94.51,94.51,94.51,94.51
1989-09-11,93.35,93.35,93.35,93.35
1989-09-11,94.03,94.03,94.03,94.03
1989-09-11,95.05,95.05,95.05,95.05
1989-09-11,94.86,94.86,94.86,94.86
1989-09-11,93.13,93.13,93.13,93.13
1989-09-11,92.87,92.87,92.87,92.87
1989-09-11,91.27,91.27,91.27,91.27
1989-09-11,91.58,91.58,91.58,91.58
1989-09-11,92.26,92.26,92.26,92.26
1989-09-11,92.32,92.32,92.32,92.32
1989-09-11,90.05,90.05,90.05,90.05
1989-09-11,89.0,89.0,89.0,89.0
1989-09-11,89.27,89.27,89.27,89.27
1989-09-11,89.17,89.17,89.17,89.17
1989-09-11,88.97,88.97,88.97,88.97
1989-09-11,89.1,89.1,89.1,89.1
1989-09-11,89.78,89.78,89.78,89.78
1989-09-11,89.57,89.57,89.57,89.57
1989-09-11,87.77,87.77,87.77,87.77
1989-09-11,88.06,88.06,88.06,88.06
1989-09-11,87.98,87.98,87.98,87.98
1989-09-11,86.4,86.4,86.4,86.4
1989-09-11,85.82,85.82,85.82,85.82
1989-09-11,85.79,85.79,85.79,85.79
1989-09-11,86.46,86.46,86.46,86.46
1989-09-11,86.63,86.63,86.63,86.63
1989-09-11,84.84,84.84,84.84,84.84
1989-09-11,84.19,84.19,84.19,84.19
1989-09-11,84.94,84.94,84.94,84.94
1989-09-11,84.49,84.49,84.49,84.49
1989-09-11,83.58,83.58,83.58,83.58
1989-09-11,83.49,83.49,83.49,83.49
1989-09-11,83.62,83.62,83.62,83.62
1989-09-11,83.62,83.62,83.62,83.62
1989-09-11,83.04,83.04,83.04,83.04
1989-09-11,84.16,84.16,84.16,84.16
1989-09-11,85.3,85.3,85.3,85.3
1989-09-11,85.75,85.75,85.75,85.75
1989-09-11,85.11,85.11,85.11,85.11
1989-09-11,83.93,83.93,83.93,83.93
1989-09-11,81.0,81.0,81.0,81.0
1989-09-11,81.24,81.24,81.24,81.24
1989-09-11,82.4,82.4,82.4,82.4
1989-09-11,82.45,82.45,82.45,82.45
1989-09-11,81.35,81.35,81.35,81.35
1989-09-11,82.52,82.52,82.52,82.52
1989-09-11,82.39,82.39,82.39,82.39
1989-09-11,83.11,83.11,83.11,83.11
1989-09-11,81.03,81.03,81.03,81.03
1989-09-11,80.18,80.18,80.18,80.18
1989-09-11,80.62,80.62,80.62,80.62
1989-09-11,78.92,78.92,78.92,78.92
1989-09-11,77.03,77.03,77.03,77.03
1989-09-11,74.34,74.34,74.34,74.34
1989-09-11,74.66,74.66,74.66,74.66
1989-09-11,77.54,77.54,77.54,77.54
1989-09-11,75.91,75.91,75.91,75.91
1989-09-11,77.13,77.13,77.13,77.13
1989-09-11,75.62,75.62,75.62,75.62
1989-09-11,77.28,77.28,77.28,77.28
1989-09-11,77.02,77.02,77.02,77.02
1989-09-11,77.15,77.15,77.15,77.15
1989-09-11,75.87,75.87,75.87,75.87
1989-09-11,76.66,76.66,76.66,76.66
1989-09-11,75.91,75.91,75.91,75.91
