Date,Open,High,Low,Close
2020-03-12,305.4,305.4,274.02,275.2
2020-03-13,275.2,290.48,270.1,290.48
2020-03-16,290.48,290.48,256.04,256.95
2020-03-17,256.95,292.5,256.95,290.64
2020-03-18,290.64,290.64,263.21,277.16
2020-03-19,277.16,277.16,260.62,262.0
2020-03-20,262.23,262.52,239.22,240.57
2020-03-23,239.6,239.6,220.97,227.75
2020-03-24,228.99,253.87,228.99,252.66
2020-03-25,252.66,270.05,246.12,259.84
2020-03-26,259.5,284.32,259.5,281.63
2020-03-27,281.43,292.97,272.26,283.1
2020-03-30,284.52,295.01,284.41,293.57
2020-03-31,291.88,291.88,280.83,281.77
2020-04-01,274.47,274.47,259.59,264.53
2020-04-02,264.53,274.64,260.83,272.85
2020-04-03,272.85,272.85,261.15,262.97
2020-04-06,266.57,286.09,266.57,283.61
2020-04-07,284.03,291.21,279.83,280.17
2020-04-08,280.17,297.38,279.42,295.33
2020-04-09,295.35,313.74,295.35,309.35
2020-04-13,309.35,309.35,296.47,299.19
2020-04-14,301.37,308.41,301.37,308.09
2020-04-15,307.87,307.87,296.48,297.74
2020-04-16,297.74,300.4,295.33,297.96
2020-04-17,297.96,309.22,297.96,307.83
2020-04-20,306.51,306.51,295.66,295.87
2020-04-21,295.09,295.09,287.94,291.12
2020-04-22,291.12,301.52,291.12,299.7
2020-04-23,299.7,301.21,293.4,294.42
2020-04-24,294.42,297.52,291.33,296.27
2020-04-27,296.27,301.55,296.27,299.5
2020-04-28,299.5,306.76,299.3,300.56
2020-04-29,301.47,305.35,296.69,297.8
2020-04-30,297.8,297.8,288.35,290.71
2020-05-01,290.6,290.6,282.2,283.6
2020-05-04,283.6,286.58,280.74,285.74
2020-05-05,285.74,291.73,285.74,288.39
2020-05-06,288.68,289.26,278.0,278.26
2020-05-07,278.26,283.72,278.26,279.48
2020-05-08,281.15,285.8,281.15,285.1
2020-05-11,285.1,285.1,278.73,283.74
2020-05-12,283.65,285.56,280.73,281.18
2020-05-13,280.26,280.26,275.66,278.65
2020-05-14,278.65,281.87,271.8,281.3
