date,spx_close,hlth_close,cons_close,cond_close,enrs_close,finl_close,indu_close,inft_close,matr_close,rlst_close,tels_close,util_close,daily_new_cases,daily_new_deaths
2020-03-12,2480.64,985.4,537,766.6017,221.69,336.66,490.22,1319.1,271.97,200.75,144.33,275.2,1174.0,4.0
2020-03-13,2711.02,1053.92,582.16,813.2361,241.29,381.2,528.6,1476.91,290.78,218.08,157.61,290.48,749.0,7.0
2020-03-16,2386.13,948.61,541.45,714.9846,208.41,327.87,468.1,1271.4,257.52,181.99,141.15,256.95,1336.0,21.0
2020-03-17,2529.19,1007.95,586.9,743.7777,209.92,346.78,487.75,1357.53,274.66,194.62,146.78,290.64,2442.0,25.0
2020-03-18,2398.1,973.71,568.91,707.1269,179.94,316.1,452.86,1295.22,257.74,180.1,142.65,277.16,3738.0,52.0
2020-03-19,2409.39,955.54,552.37,731.1885,192.08,323.22,454.35,1309.57,263.45,177.68,145.02,262,5346.0,67.0
2020-03-20,2304.92,916.59,516.28,711.3417,193.93,312.65,431.44,1251.66,254.16,167.95,138.3,240.57,6432.0,75.0
2020-03-23,2237.4,870.99,500.95,713.8369,181.03,293.55,412.06,1239.39,241.67,158.62,137.76,227.75,11438.0,176.0
2020-03-24,2447.33,937.08,525.19,775.5117,210.56,330.99,464.6,1367.1,269.78,172.18,145.77,252.66,12894.0,260.0
2020-03-25,2475.56,948.94,524.29,784.0139,220.02,339.78,489.2,1363.26,275.71,179.92,143.46,259.84,14569.0,308.0
2020-03-26,2630.07,1015.18,554.03,817.7419,233.76,361.62,520.58,1449.82,289.32,193.97,152.14,281.63,18906.0,371.0
2020-03-27,2541.47,990.69,550.05,790.1757,217.56,349.66,498.02,1383.04,278.3,193.83,145.91,283.1,20164.0,532.0
2020-03-30,2626.65,1036.98,571.52,807.5221,219.81,356.7,505.54,1441.6,287.35,199.13,151.13,293.57,24126.0,836.0
2020-03-31,2584.59,1032.89,560.33,793.1123,223.4,346.02,499.12,1414.36,283.23,192.64,150.35,281.77,26222.0,1089.0
2020-04-01,2470.5,993.02,550.08,761.6567,213.04,325.37,476.24,1347.68,270.22,180.87,144.44,264.53,27652.0,1291.0
2020-04-02,2526.9,1020.68,566,764.3234,232.37,333.4,483.2,1378.36,274.27,183.29,147.07,272.85,29219.0,1209.0
2020-04-03,2488.65,1010.87,569.07,753.0883,229.26,325.95,475.7,1355.6,267.86,181.9,143.84,262.97,33717.0,1308.0
2020-04-06,2663.68,1065.43,591.38,811.306,241.07,350.26,509.1,1474.59,288.23,195.02,153.48,283.61,31450.0,1550.0
2020-04-07,2659.41,1055.49,584.27,821.3168,245.9,353.56,508.15,1458.93,295.2,195.25,154.51,280.17,34267.0,2210.0
2020-04-08,2749.98,1099.88,592.48,844.6804,262.46,369.12,526.68,1498.96,309.95,209.71,157.06,295.33,33371.0,2263.0
2020-04-09,2789.82,1106.01,597.14,856.7766,259.63,388.28,534.19,1499.2,323.19,220.5,158.14,309.35,33983.0,2153.0
2020-04-13,2761.63,1095.15,592.61,866.2224,258.57,374.38,518.92,1502.24,316.31,210.39,158.29,299.19,27318.0,1750.0
2020-04-14,2846.06,1131.35,617.69,902.478,257.37,375.62,528.73,1564.86,319.95,217.24,163.41,308.09,29704.0,2547.0
2020-04-15,2783.36,1125.42,608.04,888.3187,245.34,359.22,513.82,1530.65,305.53,208.96,161.7,297.74,31999.0,2720.0
