Ticker,Date,Open,High,Low,Close,Trading Volume,Volume Weighted Average Price,Number of Transactions
ABT,2020-03-11,73.28,78.15,72.01,74.74,14123240.0,74.9395,113015
ABT,2020-03-12,77.91,82.67,74.83,81.65,18521541.0,77.7958,160884
ABT,2020-03-15,70.65,79.25,70.0,73.66,14358978.0,75.4936,113523
ABT,2020-03-16,75.52,79.79,73.34,79.49,13441141.0,77.9694,124950
ABT,2020-03-17,74.98,81.99,74.39,79.26,17680823.0,78.7228,141919
ABT,2020-03-18,81.36,81.81,73.55,74.5,14672367.0,76.049,123410
ABT,2020-03-19,74.05,74.86,67.95,68.0,16197880.0,70.5554,104877
ABT,2020-03-22,67.07,67.49,61.61,62.82,13316010.0,64.1217,114201
ABT,2020-03-23,64.91,69.97,64.5,69.69,11078130.0,67.8049,96879
ABT,2020-03-24,68.95,72.6272,68.15,70.75,9510973.0,70.3998,81222
ABT,2020-03-25,71.08,75.97,71.0,75.81,10630791.0,74.9133,87887
ABT,2020-03-26,77.5,77.5,73.612,74.56,8524819.0,74.9666,79351
ABT,2020-03-29,82.83,84.4,78.47,79.34,49586428.0,80.731,390313
ABT,2020-03-30,81.43,81.49,78.56,78.91,24648951.0,80.1048,195352
ABT,2020-03-31,77.0,77.38,75.35,76.57,12512971.0,76.4789,114606
ABT,2020-04-01,76.12,79.6565,76.0,79.44,10344911.0,78.4796,88085
ABT,2020-04-02,78.79,79.99,78.18,79.45,9267366.0,79.1018,90418
ABT,2020-04-05,81.08,83.12,79.605,82.73,12616239.0,81.5734,98678
ABT,2020-04-06,83.45,84.48,81.7679,81.93,11099268.0,83.1948,100157
ABT,2020-04-07,82.5,85.39,81.05,84.95,9383773.0,83.6633,86584
ABT,2020-04-08,85.0,86.5,82.95,86.04,10638075.0,85.1888,104857
ABT,2020-04-12,86.32,86.48,83.52,85.85,6846068.0,85.2635,66970
ABT,2020-04-13,87.0,89.537,86.5,89.14,10051424.0,88.4773,85735
ABT,2020-04-14,90.01,91.9,88.51,90.94,14407969.0,90.6867,121040
ABT,2020-04-15,92.6,96.985,91.14,96.0,27335324.0,95.0569,202365
ABT,2020-04-16,97.45,97.75,94.24,96.01,16759215.0,95.9804,125563
ABT,2020-04-19,94.82,100.0,94.65,98.0,17469287.0,97.8853,124070
ABT,2020-04-20,96.1,96.97,93.62,94.05,12403265.0,95.0345,107036
ABT,2020-04-21,94.28,95.98,92.79,95.48,8572283.0,94.9309,66640
ABT,2020-04-22,95.87,97.45,93.35,93.94,10674565.0,95.4343,88233
ABT,2020-04-23,94.5,94.58,92.775,94.06,9126867.0,93.6152,72971
ABT,2020-04-26,95.48,95.9,94.02,94.95,6998376.0,94.958,60333
ABT,2020-04-27,94.88,95.15,91.335,91.46,7948782.0,92.638,73501
ABT,2020-04-28,92.09,93.05,91.0705,92.28,7182731.0,92.2887,61913
ABT,2020-04-29,91.85,93.77,91.85,92.09,8129307.0,92.4974,56074
ABT,2020-04-30,91.0,91.3575,88.75,89.85,6921382.0,89.7875,63797
ABT,2020-05-03,89.79,90.16,88.71,89.83,5140541.0,89.5289,45407
ABT,2020-05-04,90.95,93.66,90.39,93.03,6851490.0,92.5582,62161
ABT,2020-05-05,93.15,93.43,91.03,91.08,4401065.0,92.0659,38072
ABT,2020-05-06,92.14,94.54,91.81,93.99,7331788.0,93.5255,56385
ABT,2020-05-07,94.84,94.94,92.895,93.7,6260640.0,93.8141,55896
ABT,2020-05-10,93.22,96.49,93.14,96.07,7349403.0,95.2005,50807
ABT,2020-05-11,96.46,96.68,93.73,93.8,5523074.0,94.9993,48145
ABT,2020-05-12,93.27,94.665,90.84,92.16,11744986.0,92.5257,94014
ABT,2020-05-13,90.5,91.78,89.34,91.78,8369095.0,90.7275,73055
ABT,2020-05-14,89.96,91.16,88.79,89.89,13971861.0,89.7679,84516
ABT,2020-05-17,91.9,93.0,90.02,90.27,7860078.0,91.1559,67212
ABT,2020-05-18,90.33,90.5,88.11,88.22,7838588.0,89.1974,64299
ABT,2020-05-19,89.58,90.42,88.031,90.09,7610967.0,89.8506,59428
ABT,2020-05-20,89.64,90.61,88.38,90.39,6212065.0,89.7568,58332
ABT,2020-05-21,90.42,91.54,89.71,91.47,5258422.0,90.9254,48239
ABT,2020-05-25,92.95,93.29,89.17,89.48,6377482.0,90.3111,52510
ABT,2020-05-26,89.28,90.78,88.17,90.76,5538734.0,89.6883,55267
ABT,2020-05-27,91.95,93.325,91.21,92.1,5391612.0,92.4503,52666
ABT,2020-05-28,92.9,95.59,90.75,94.92,10206523.0,93.5903,61575
ABT,2020-05-31,92.95,93.96,92.0419,93.01,5593869.0,93.0161,51438
ABT,2020-06-01,92.92,93.15,91.76,92.62,6473782.0,92.4632,48115
ABT,2020-06-02,92.56,92.7,90.56,91.4,8159797.0,91.2408,67853
ABT,2020-06-03,91.05,91.335,88.235,88.25,9228587.0,89.3696,73272
ABT,2020-06-04,88.47,89.96,87.32,89.86,12045790.0,89.0519,91549
ABT,2020-06-07,88.98,92.61,88.91,92.56,5552266.0,91.3959,50720
ABT,2020-06-08,92.32,92.82,90.24,90.27,4943443.0,90.9954,48379
ABT,2020-06-09,90.85,92.75,90.64,92.16,5917758.0,91.8256,51021
ABT,2020-06-10,92.17,92.5,86.94,87.78,8282263.0,88.3883,80533
ABT,2020-06-11,89.25,90.19,87.59,89.02,5700552.0,89.0657,55050
ABT,2020-06-14,87.52,90.35,87.05,89.55,5759383.0,88.8679,51641
ABT,2020-06-15,90.62,91.76,89.14,89.74,6248353.0,90.2063,62410
ABT,2020-06-16,90.42,91.6723,90.1,90.9,4434962.0,90.9515,37814
ABT,2020-06-17,90.5,91.34,89.57,90.28,6068102.0,90.5018,39044
ABT,2020-06-18,91.67,92.4,90.61,90.68,10499473.0,91.1493,45807
ABT,2020-06-21,90.33,90.65,89.16,90.34,5160615.0,90.0971,42292
ABT,2020-06-22,91.11,92.3,90.79,91.3,4249363.0,91.545,38233
ABT,2020-06-23,90.63,90.73,86.822,87.3,6216229.0,87.784,63818
ABT,2020-06-24,87.24,89.81,86.16,89.62,5883296.0,88.1915,57765
ABT,2020-06-25,89.82,89.95,87.94,88.71,8579002.0,88.8243,47151
ABT,2020-06-28,89.58,89.7,88.09,89.01,4739433.0,88.8122,35291
ABT,2020-06-29,88.75,91.9,88.435,91.43,5290691.0,90.6341,42868
ABT,2020-06-30,91.98,91.98,90.43,91.64,3476224.0,91.4468,33684
ABT,2020-07-01,92.5,93.06,91.93,92.23,3928021.0,92.3906,35492
ABT,2020-07-05,92.76,93.97,92.453,92.97,6000098.0,93.1235,36757
ABT,2020-07-06,92.46,93.4,92.09,92.46,3457413.0,92.7887,32598
ABT,2020-07-07,92.84,93.6689,91.4984,92.58,3891857.0,92.4649,34556
ABT,2020-07-08,92.74,94.88,91.85,93.67,4641356.0,93.438,45701
ABT,2020-07-09,93.47,93.8,92.3238,93.04,2972693.0,92.9249,31155
ABT,2020-07-12,93.14,95.62,92.79,93.09,4379526.0,94.1365,41227
ABT,2020-07-13,92.64,94.98,91.71,94.82,4215357.0,93.7462,42466
ABT,2020-07-14,95.9,97.13,95.77,96.73,6321960.0,96.5519,59996
ABT,2020-07-15,97.85,97.99,94.29,96.4,7675080.0,95.9938,61240
ABT,2020-07-16,97.87,100.0,97.68,99.25,8760295.0,99.0637,66393
ABT,2020-07-19,100.0,100.71,98.72,99.08,5900626.0,99.6224,55239
ABT,2020-07-20,98.88,99.48,97.76,98.19,5213431.0,98.4045,47887
ABT,2020-07-21,98.11,100.57,98.0,100.19,4745570.0,99.6425,43811
ABT,2020-07-22,100.28,101.98,100.07,100.82,5990166.0,100.928,54350
ABT,2020-07-23,100.21,100.21,98.36,98.95,4632751.0,99.0494,44659
ABT,2020-07-26,98.55,100.28,98.4111,99.99,3832621.0,99.7369,31246
ABT,2020-07-27,100.14,100.79,99.27,99.86,4153801.0,100.0295,30577
ABT,2020-07-28,100.18,102.8931,100.09,102.52,4824561.0,102.1634,48624
ABT,2020-07-29,100.98,101.58,100.24,101.53,3272771.0,101.052,36436
ABT,2020-07-30,101.21,101.37,99.12,100.64,4676487.0,100.2401,42994
ABT,2020-08-02,101.08,101.55,100.21,100.68,3749000.0,100.7827,39424
ABT,2020-08-03,100.16,100.68,99.28,99.93,2800235.0,99.9802,30340
ABT,2020-08-04,99.97,102.36,99.88,102.14,4516713.0,101.6375,38092
ABT,2020-08-05,101.52,101.8,99.92,101.75,4016906.0,101.2477,33391
ABT,2020-08-06,101.6999,102.3,100.56,101.23,3195682.0,101.3626,34620
ABT,2020-08-09,100.94,101.26,100.03,100.04,2826910.0,100.4993,28694
ABT,2020-08-10,100.43,100.43,98.67,99.06,4881729.0,99.3343,44972
ABT,2020-08-11,99.55,101.1,99.315,100.65,2710240.0,100.6764,29951
ABT,2020-08-12,100.34,101.2693,100.0,101.1,3037274.0,100.8696,28041
ABT,2020-08-13,100.93,101.22,99.575,99.99,2791426.0,100.1512,25918
ABT,2020-08-16,100.3,101.42,100.21,100.71,4730029.0,100.7539,32487
ABT,2020-08-17,101.09,101.72,100.43,100.96,3823667.0,100.9883,33985
ABT,2020-08-18,101.08,101.62,100.33,100.48,2774538.0,100.768,25249
ABT,2020-08-19,99.99,102.02,99.75,101.63,3602285.0,101.4855,31131
ABT,2020-08-20,101.63,102.54,100.84,102.4,3878015.0,101.9832,30230
ABT,2020-08-23,102.7,103.23,100.7,101.39,3281604.0,101.7888,31090
ABT,2020-08-24,101.98,102.9026,101.52,102.47,2695325.0,102.4853,25996
ABT,2020-08-25,101.99,103.29,101.26,103.19,3024815.0,103.3071,31010
ABT,2020-08-26,111.01,114.0,109.52,111.29,37044667.0,111.556,314758
ABT,2020-08-27,113.54,114.195,109.405,110.79,17725517.0,111.6572,155944
ABT,2020-08-30,110.7,111.74,109.26,109.47,7134131.0,110.0289,71812
ABT,2020-08-31,108.93,109.065,105.58,106.55,8115160.0,107.0509,85470
ABT,2020-09-01,106.45,109.91,105.88,109.44,5939571.0,108.6324,59607
ABT,2020-09-02,108.7,108.94,104.3,105.53,6194671.0,105.9728,68782
ABT,2020-09-03,105.45,106.04,102.42,104.16,5118528.0,103.9853,58203
ABT,2020-09-07,103.17,103.8164,102.43,102.84,5341686.0,103.0812,56539
ABT,2020-09-08,104.26,106.9299,104.13,105.81,4511283.0,105.9158,43390
ABT,2020-09-09,105.6,105.6,103.73,104.0,4353096.0,104.5296,43457
ABT,2020-09-10,105.28,105.7,104.3248,104.7,4173380.0,104.9491,39447
ABT,2020-09-13,105.59,106.66,105.12,105.69,3885704.0,105.9148,32963
ABT,2020-09-14,107.0,107.53,106.17,106.58,3743592.0,106.7611,33481
ABT,2020-09-15,106.95,107.37,105.66,105.7,4299462.0,106.3337,35633
ABT,2020-09-16,104.96,106.75,104.3922,106.66,4343799.0,106.1607,37170
ABT,2020-09-17,106.56,107.99,106.14,106.86,8778093.0,106.9081,44027
ABT,2020-09-20,105.8,106.46,104.46,105.95,4626626.0,105.5333,48284
ABT,2020-09-21,105.46,105.52,103.565,104.8,4262099.0,104.502,41915
ABT,2020-09-22,104.99,104.99,102.23,102.73,4084710.0,103.2805,41940
ABT,2020-09-23,102.75,103.53,100.47,100.92,7684037.0,101.6479,67266
ABT,2020-09-24,100.56,103.61,100.34,103.45,5136230.0,102.4436,47070
ABT,2020-09-27,104.24,105.25,103.82,104.44,5595482.0,104.5295,49601
ABT,2020-09-28,106.01,106.41,104.92,105.19,4581332.0,105.5961,46252
ABT,2020-09-29,105.99,109.48,105.74,108.83,9577710.0,108.0103,68867
ABT,2020-09-30,109.18,110.33,108.38,108.64,7346981.0,109.1415,69224
ABT,2020-10-01,107.68,108.66,106.33,106.5,5690545.0,107.0918,54309
ABT,2020-10-04,107.18,108.65,107.18,108.56,3656458.0,108.3039,35048
ABT,2020-10-05,108.56,108.77,106.05,106.25,4063134.0,107.107,45172
ABT,2020-10-06,107.37,108.18,106.93,107.74,4245094.0,107.7555,38087
ABT,2020-10-07,108.14,109.13,107.42,108.54,4224384.0,108.491,35002
ABT,2020-10-08,109.34,109.97,108.8,109.65,3103377.0,109.4556,31706
ABT,2020-10-11,110.25,111.57,109.76,111.05,4298360.0,111.0032,44884
ABT,2020-10-12,110.5,110.99,108.25,108.37,4890227.0,109.2672,51435
ABT,2020-10-13,108.61,109.83,107.34,107.75,4279352.0,108.2739,41738
ABT,2020-10-14,106.85,107.74,106.31,107.32,3616449.0,107.1339,38488
ABT,2020-10-15,107.7,110.38,107.7,109.67,4788552.0,109.3548,43792
ABT,2020-10-18,109.9,111.035,107.82,108.04,4299822.0,109.24,51332
ABT,2020-10-19,108.35,109.89,108.11,108.36,3959612.0,108.9985,49004
ABT,2020-10-20,108.01,109.0,104.7548,105.93,5816466.0,106.4193,63700
ABT,2020-10-21,106.42,110.05,106.24,109.48,5018562.0,109.0376,56285
ABT,2020-10-22,109.64,110.0,107.57,107.79,3629140.0,108.2471,35763
ABT,2020-10-25,107.57,109.161,107.0474,109.0,7407338.0,108.4998,53770
ABT,2020-10-26,108.89,109.7495,108.33,108.58,4569721.0,108.9048,42841
ABT,2020-10-27,106.81,107.41,105.38,106.42,7188068.0,106.4931,55155
ABT,2020-10-28,106.38,106.58,104.57,105.0,4311737.0,105.6495,47465
ABT,2020-10-29,104.76,105.55,103.13,105.11,4487223.0,104.4784,52258
ABT,2020-11-01,107.09,108.7,106.11,107.48,6050990.0,107.3905,57756
ABT,2020-11-02,108.74,110.8,108.36,109.56,3933924.0,109.6927,47483
ABT,2020-11-03,110.17,114.23,110.105,111.53,7512855.0,112.1091,74512
ABT,2020-11-04,113.51,114.84,112.72,113.53,5245310.0,113.7137,58268
ABT,2020-11-05,113.88,115.14,112.84,114.42,5737301.0,114.4225,46357
ABT,2020-11-08,111.8,113.21,106.19,109.39,14258004.0,109.5117,127729
ABT,2020-11-09,109.25,111.59,108.4023,110.81,5378351.0,110.3599,53560
ABT,2020-11-10,111.94,112.95,111.465,112.65,4049373.0,112.4819,42941
ABT,2020-11-11,112.41,112.86,111.3,111.95,2895440.0,112.0202,37090
ABT,2020-11-12,113.0,113.09,111.42,112.6,3975067.0,112.4472,35520
ABT,2020-11-15,112.05,113.75,111.59,113.67,4299283.0,113.0615,40231
ABT,2020-11-16,113.22,114.62,112.34,113.06,3871540.0,113.4092,45914
ABT,2020-11-17,113.67,113.71,109.75,109.77,4624655.0,110.9364,48836
ABT,2020-11-18,110.0,111.2,109.26,111.0,3647109.0,110.4082,45495
ABT,2020-11-19,110.74,111.76,110.07,110.89,4296794.0,111.0554,41211
ABT,2020-11-22,111.43,111.52,108.86,109.27,4170952.0,109.6406,48505
